Time,lat,lon,Hft
06:32:52:727,41.28946789,2.09518056,0.0002658516595885
06:32:56:781,41.28849437,2.0924457,0.0001442602825537
06:33:00:836,41.28745307,2.08935979,-7.36074853688478e-05
06:33:04:875,41.28625391,2.08592606,-0.0004058433802053
06:33:08:914,41.28499088,2.0822292,49.9991243883389
06:33:12:938,41.28377716,2.07834904,174.998495368854
06:33:16:953,41.28231794,2.07485981,324.997872778003
06:33:20:969,41.28090417,2.07113265,499.997078906724
06:33:24:977,41.27947217,2.06746389,674.996192978728
06:33:28:969,41.27770615,2.06416703,824.995387664705
06:33:32:961,41.27530826,2.06144436,974.99484660736
06:33:36:938,41.27261247,2.05918234,1099.9945296115
06:33:40:914,41.26966074,2.05772063,1174.99461437415
06:33:44:891,41.26648942,2.05649901,1224.99490619738
06:33:48:859,41.26328241,2.05556478,1299.99539816923
06:33:52:836,41.25988172,2.05464025,1374.99602734616
06:33:56:805,41.25642979,2.0539026,1424.99683920673
06:34:00:781,41.25282372,2.0531321,1499.99778167839
06:34:04:758,41.24915176,2.05244793,1574.99888606818
06:34:08:734,41.2454495,2.05177061,1625.00010650071
06:34:12:711,41.24159238,2.05104539,1700.00147843492
06:34:16:695,41.2376445,2.05026131,1725.00297587499
06:34:20:672,41.23353083,2.04942741,1750.00465110356
06:34:24:664,41.22927521,2.04849394,1800.00648176323
06:34:28:648,41.22481882,2.04741155,1875.00848902262
06:34:32:633,41.22039391,2.04633812,2000.01062711598
06:34:36:617,41.21594578,2.04521646,2175.01289889716
06:34:40:602,41.21140155,2.04401312,2350.01533629366
06:34:44:586,41.20693685,2.04284849,2550.01788592229
06:34:48:578,41.20242634,2.04164999,2750.02059500937
06:34:52:570,41.19799049,2.04026951,2950.02328573582
06:34:56:563,41.19379496,2.03776651,3125.02524496477
06:35:00:563,41.18970949,2.03473582,3300.02685869687
06:35:04:563,41.18587937,2.03137473,3450.0280708971
06:35:08:563,41.18246632,2.02727999,3625.02839958734
06:35:12:563,41.17944182,2.02255613,3775.02783005865
06:35:16:570,41.17710542,2.01728468,3950.02602851648
06:35:20:578,41.17512048,2.01163882,4125.02335088941
06:35:24:586,41.17376508,2.00555218,4300.01938634437
06:35:28:594,41.17269111,1.9993761,4475.01472377183
06:35:32:609,41.17183078,1.9931119,4650.00941006484
06:35:36:617,41.17108707,1.98682521,4850.00359483068
06:35:40:633,41.1703581,1.98053133,5024.99739133172
06:35:44:641,41.16960329,1.97417445,5224.99077455817
06:35:48:648,41.16892792,1.96783751,5424.98372860624
06:35:52:656,41.16824343,1.96152378,5624.97635143284
06:35:56:656,41.16743541,1.95512056,5799.96861090325
06:36:00:664,41.16674039,1.9488094,5999.96050733795
