Time,lat,lon,Hft
06:43:43:898,41.28947187,2.09516914,0.0002647730609029
06:43:47:961,41.28850063,2.09243173,0.0001424208592996
06:43:52:008,41.2874641,2.08933959,-7.71274448186159e-05
06:43:56:055,41.28626441,2.08590954,-0.0004095038935914
06:44:00:086,41.28494401,2.08217007,24.9991183691435
06:44:04:109,41.28365144,2.07826908,174.998494223033
06:44:08:117,41.2821985,2.07465678,349.997839026546
06:44:12:141,41.28080083,2.07103163,549.997067249555
06:44:16:148,41.27934795,2.06727521,724.996154118261
06:44:20:148,41.2779036,2.06364032,874.995167168831
06:44:24:141,41.27587246,2.06019527,1049.9942597483
06:44:28:133,41.27341407,2.05754726,1249.99369738446
06:44:32:109,41.27066326,2.05580805,1424.99357866096
06:44:36:078,41.26762889,2.05472082,1624.99385296275
06:44:40:047,41.26455507,2.05427455,1799.99448509365
06:44:44:016,41.26139739,2.05420946,1949.99538402361
06:44:47:984,41.25804391,2.05405707,2049.99638445831
06:44:51:961,41.2547339,2.0539836,2124.99749122224
06:44:55:938,41.25112753,2.05357392,2199.99864552396
06:44:59:914,41.24753254,2.05312604,2274.99987742062
06:45:03:891,41.24376552,2.05252664,2375.00121502588
06:45:07:867,41.23983273,2.05171374,2450.00263737618
06:45:11:852,41.23589251,2.05085274,2550.00415577047
06:45:15:836,41.23186146,2.04994524,2675.00581514323
06:45:19:813,41.22770299,2.04890815,2850.00760339137
06:45:23:805,41.22358465,2.04784838,3050.00948194218
06:45:27:789,41.21931346,2.04666465,3250.01151527343
06:45:31:781,41.21517627,2.04555772,3450.01362943542
06:45:35:766,41.21093389,2.04440071,3675.01591338943
06:45:39:750,41.20676188,2.04330778,3925.01831019586
06:45:43:742,41.20255444,2.04212172,4150.02080645048
06:45:47:734,41.19832126,2.04082823,4375.02338757219
06:45:51:727,41.19437853,2.03871794,4625.02537437361
06:45:55:727,41.19052633,2.03610773,4850.02705681789
06:45:59:719,41.18681027,2.03331253,5075.02855279904
06:46:03:719,41.18347323,2.02964312,5300.02915073526
06:46:07:727,41.18064099,2.02496495,5475.02851503299
06:46:11:727,41.17781593,2.02050015,5600.02789206955
06:46:15:734,41.17588933,2.01490043,5675.02535026107
06:46:19:742,41.17452404,2.00885344,5775.02160454683
06:46:23:758,41.17395212,2.00243948,5900.01640633887
