Time,lat,lon,Hft
06:45:47:688,41.28992228,2.09664549,0.0003109450289979
06:45:51:758,41.28907067,2.09409465,0.000225989341028
06:45:55:820,41.28803831,2.09112868,6.22348386049271e-05
06:45:59:867,41.28691056,2.08787108,-0.0002031248822063
06:46:03:906,41.28566951,2.08431413,-0.0005933301092311
06:46:07:938,41.28449531,2.08067743,174.998891954007
06:46:11:953,41.283257,2.07711796,349.998291390223
06:46:15:969,41.28207091,2.07356307,499.997577607368
06:46:19:977,41.280822,2.07002133,674.996771422342
06:46:23:977,41.27907993,2.0669215,824.996086776929
06:46:27:961,41.27679289,2.06443049,999.995651678739
06:46:31:938,41.27424592,2.06234755,1099.99540156535
06:46:35:914,41.27124178,2.06134416,1199.99567950698
06:46:39:883,41.26816181,2.0604421,1299.99607652224
06:46:43:844,41.26501056,2.06016673,1424.99680640266
06:46:47:820,41.26163346,2.05986453,1524.99766960172
06:46:51:789,41.25824533,2.05974958,1624.99869818387
06:46:55:766,41.2546376,2.05961573,1724.99988673474
06:46:59:734,41.25100708,2.05953946,1825.00120801436
06:47:03:711,41.24728628,2.0594867,1925.00267859892
06:47:07:688,41.24342423,2.05939093,2025.00430265616
06:47:11:664,41.23941624,2.05923419,2100.00608714978
06:47:15:641,41.23537929,2.05912725,2225.0080329348
06:47:19:625,41.2312097,2.05894572,2400.01014899445
06:47:23:602,41.22706842,2.0587961,2575.0123971809
06:47:27:594,41.22289664,2.05864617,2775.01479827152
06:47:31:570,41.21868651,2.05846697,2950.01734697757
06:47:35:563,41.21438192,2.05821805,3125.02006896829
06:47:39:547,41.21007848,2.05804322,3300.02296502895
06:47:43:531,41.2055947,2.0577904,3425.02610546437
06:47:47:516,41.20110976,2.05758665,3525.02942331571
06:47:51:500,41.1965601,2.05743484,3625.03297260438
06:47:55:484,41.19177526,2.05721387,3750.03685539375
06:47:59:477,41.18699365,2.05701527,3850.04092323784
06:48:03:469,41.18200374,2.05661332,3975.04527779955
06:48:07:461,41.17707268,2.05566254,4100.04953383601
06:48:11:461,41.1722378,2.05369332,4275.05342340828
06:48:15:453,41.16748181,2.05104695,4450.05705872764
06:48:19:453,41.16303458,2.04800162,4675.06027576424
06:48:23:453,41.15842759,2.04476058,4875.06363424411
06:48:27:445,41.15388894,2.041551,5075.06700133444
06:48:31:445,41.14928745,2.03837201,5300.07052799914
06:48:35:445,41.14468395,2.03519693,5500.07413149203
06:48:39:445,41.14001484,2.0320288,5700.0778951339
06:48:43:445,41.13542259,2.02884634,5900.08162813196
