Time,lat,lon,Hft
06:48:19:555,41.28922357,2.09465396,0.0002523218154534
06:48:23:617,41.28829602,2.0918798,0.0001110253876447
06:48:27:664,41.28720048,2.08879363,-0.0001158806094899
06:48:31:703,41.28603377,2.08546892,-0.0004506617527827
06:48:35:727,41.28482131,2.0819652,24.999095266354
06:48:39:766,41.2836597,2.07813868,149.99846337468
06:48:43:773,41.28220137,2.07476122,274.9978628082
06:48:47:781,41.28079174,2.07113776,449.997096054664
06:48:51:789,41.27933505,2.06748492,599.996219953401
06:48:55:789,41.27787585,2.06396306,724.995282216361
06:48:59:781,41.27586408,2.06081118,849.994493240385
06:49:03:773,41.27340677,2.05826041,999.993984101006
06:49:07:750,41.27064865,2.05653186,1149.99388251915
06:49:11:719,41.26778284,2.05558824,1299.99418204768
06:49:15:688,41.26470497,2.05491732,1474.99471687554
06:49:19:664,41.26164778,2.05498737,1649.99564219584
06:49:23:633,41.25858579,2.05521587,1774.99670935682
06:49:27:602,41.25544457,2.05545862,1874.99788213509
06:49:31:570,41.25225614,2.05564845,1949.99912523329
06:49:35:547,41.24896909,2.05586453,2000.00049720129
06:49:39:523,41.24565499,2.05614467,2075.0019926763
06:49:43:500,41.24215972,2.05630159,2150.00360277304
06:49:47:477,41.23863281,2.05649749,2225.00533970444
06:49:51:453,41.23502907,2.05665065,2300.00719441087
06:49:55:438,41.23126729,2.05676806,2375.00922035782
06:49:59:414,41.22748282,2.05688558,2475.01137043206
06:50:03:398,41.22361464,2.0569217,2550.01364741445
06:50:07:383,41.21957209,2.05690283,2575.01612651988
06:50:11:367,41.21549929,2.05688833,2650.01875693126
06:50:15:352,41.21131082,2.05688172,2725.02160087157
06:50:19:336,41.2070157,2.05690837,2875.02467632201
06:50:23:320,41.20280984,2.05697031,3050.02784390843
06:50:27:313,41.198497,2.05697016,3200.03120837137
06:50:31:297,41.19415669,2.05689919,3375.0347125753
06:50:35:281,41.18982779,2.0568452,3550.03836191339
06:50:39:273,41.18543609,2.05682933,3725.04223089145
06:50:43:258,41.18113012,2.05682151,3925.0461757104
06:50:47:250,41.17679978,2.05666227,4125.05022590203
06:50:51:234,41.17247688,2.05647975,4300.05440528123
06:50:55:227,41.16820575,2.05676215,4475.05887531987
06:50:59:211,41.16392634,2.05858244,4625.06413099102
06:51:03:195,41.16006898,2.06016082,4800.06894255739
06:51:07:180,41.1563295,2.06322451,4925.07426200354
06:51:11:164,41.15271334,2.06676892,5025.07962024888
06:51:15:141,41.14917356,2.07072919,5075.08499494854
06:51:19:117,41.14582634,2.07495149,5150.09015653465
06:51:23:102,41.1423502,2.07935655,5225.09543892076
06:51:27:078,41.13883285,2.08378514,5325.10069289646
06:51:31:063,41.13534035,2.08828377,5475.10584032275
06:51:35:039,41.13172361,2.09279625,5600.11106015894
06:51:39:023,41.12812876,2.09730909,5775.11616569081
06:51:43:008,41.12447351,2.10183475,5950.12126693579
