Time,lat,lon,Hft
06:50:23:352,41.2897167,2.09615728,0.0003025484590604
06:50:27:422,41.28893627,2.09369134,0.0002075064983963
06:50:31:477,41.28793406,2.09086696,4.55486419424415e-05
06:50:35:516,41.28690451,2.08774084,-0.0002197591350227
06:50:39:555,41.28573609,2.0843449,-0.0005959853564202
06:50:43:578,41.28443911,2.08062798,49.9988851624837
06:50:47:602,41.28317134,2.07697145,174.998263268472
06:50:51:617,41.28183091,2.07324086,324.997520879835
06:50:55:625,41.28047651,2.06968681,474.996718352447
06:50:59:617,41.27863771,2.0664548,599.996000664816
06:51:03:617,41.27655064,2.06338485,724.995316548188
06:51:07:602,41.27410499,2.06095243,874.994898441926
06:51:11:578,41.27137349,2.05912085,1049.99477889343
06:51:15:555,41.26847184,2.05778308,1174.99493146383
06:51:19:523,41.26533036,2.05671092,1249.99530911339
06:51:23:492,41.26208982,2.05627567,1324.9960557323
06:51:27:461,41.25859263,2.05612765,1399.9970889957
06:51:31:430,41.25503549,2.05613485,1499.99830569096
06:51:35:406,41.25136213,2.05609694,1599.99964599425
06:51:39:375,41.2476021,2.05608256,1675.00113631154
06:51:43:359,41.24380053,2.05614881,1725.0027888252
06:51:47:336,41.2398675,2.05617333,1800.00459894853
06:51:51:313,41.23584459,2.05623486,1925.00659237216
06:51:55:289,41.23173713,2.05629918,2075.00875930946
06:51:59:266,41.22769554,2.0563381,2250.01101055449
06:52:03:250,41.2235619,2.05635131,2425.01343362976
06:52:07:227,41.2195179,2.0564234,2600.01595871663
06:52:11:211,41.2154509,2.05644786,2775.01860669959
06:52:15:195,41.21133771,2.05646594,2925.02141272647
06:52:19:180,41.20725176,2.05649741,3100.02433790623
06:52:23:172,41.20312539,2.0565037,3275.0274139126
06:52:27:156,41.19888236,2.05647852,3425.03070169114
06:52:31:148,41.19471171,2.05651042,3575.03409516931
06:52:35:133,41.19049105,2.05653268,3725.03766402822
06:52:39:117,41.1861528,2.05650855,3850.04145722668
06:52:43:109,41.18184676,2.05634082,3925.04530576709
06:52:47:102,41.17725214,2.05566206,4000.04935751793
06:52:51:094,41.17287041,2.0536855,4075.05278100795
06:52:55:086,41.16840326,2.05210756,4150.05659369793
06:52:59:094,41.16392488,2.04933054,4225.05996935684
06:53:03:094,41.15959193,2.04620472,4275.06308874332
06:53:07:094,41.155105,2.04294109,4375.06636561096
06:53:11:086,41.15062939,2.03970947,4525.06970874332
06:53:15:086,41.14614638,2.03653591,4675.07315685418
06:53:19:086,41.14159448,2.03338566,4825.07677019537
06:53:23:078,41.13699104,2.03020799,5000.08050292778
06:53:27:078,41.13240749,2.0269921,5200.08425669421
06:53:31:078,41.12785569,2.02389241,5350.08812026112
06:53:35:078,41.12325244,2.02076025,5525.09210566978
06:53:39:078,41.11859162,2.01759595,5700.09622393247
06:53:43:070,41.11394024,2.01440738,5875.1003870777
