Time,lat,lon,Hft
06:52:15:188,41.29017319,2.09699068,0.0003070950733497
06:52:19:250,41.2893001,2.0944489,0.0002312173363566
06:52:23:313,41.28829862,2.09171108,9.46600206196308e-05
06:52:27:367,41.28718132,2.08853908,-0.0001456047115102
06:52:31:406,41.28591598,2.0849886,-0.00051248715166
06:52:35:430,41.28457717,2.08118134,24.9989760246722
06:52:39:453,41.2833248,2.0774902,174.998362432329
06:52:43:469,41.28202593,2.0737091,374.997618735571
06:52:47:484,41.28080205,2.0701329,574.996804508235
06:52:51:492,41.27942295,2.06643148,774.995866813434
06:52:55:484,41.27771258,2.0629807,949.994965467282
06:52:59:484,41.27558405,2.06040379,1099.99439817829
06:53:03:469,41.27317662,2.05779645,1224.99384995593
06:53:07:438,41.27038272,2.05609379,1324.99376370093
06:53:11:406,41.26704966,2.05523305,1399.9942200118
06:53:15:383,41.26410215,2.05448548,1449.99469518458
06:53:19:352,41.260747,2.05418925,1524.99556118268
06:53:23:320,41.25725763,2.0540027,1599.99660816535
06:53:27:289,41.25370885,2.05395004,1674.997831256
06:53:31:258,41.25006481,2.05395155,1749.99921402509
06:53:35:234,41.24625609,2.05398547,1825.00078420146
06:53:39:211,41.24244737,2.0541818,1875.00253915755
06:53:43:188,41.23838973,2.05426046,1925.00447473462
06:53:47:164,41.23423174,2.05438977,1975.00661296601
06:53:51:141,41.23005035,2.05459646,2100.00893549364
06:53:55:125,41.22572857,2.05478139,2275.01146793821
06:53:59:102,41.22146179,2.05497578,2475.01411709736
06:54:03:086,41.21717827,2.05516013,2700.01691557045
06:54:07:063,41.21293649,2.05533766,2925.01982583892
06:54:11:047,41.20872064,2.05552117,3125.02285990808
06:54:15:039,41.20438433,2.0556976,3275.02611853085
06:54:19:023,41.20000719,2.0558677,3425.0295535427
06:54:23:008,41.19550386,2.05603727,3525.03324008535
06:54:26:992,41.19106649,2.05631156,3625.03707388574
06:54:30:977,41.18632886,2.05649931,3725.04129222948
06:54:34:969,41.18156346,2.05659246,3825.04567238442
06:54:38:953,41.17663839,2.05623024,3925.05019182524
06:54:42:945,41.17175305,2.05476418,4050.0543806097
06:54:46:945,41.16704468,2.05216358,4200.05803135351
06:54:50:945,41.16244276,2.04914071,4400.06147264104
06:54:54:945,41.15794437,2.04598775,4600.0648120453
06:54:58:945,41.15340737,2.04276398,4825.06822425632
06:55:02:945,41.14887471,2.03955284,5050.07170400961
06:55:06:945,41.14434721,2.03632115,5250.07522992895
06:55:10:938,41.13970029,2.03306673,5475.07895663245
06:55:14:938,41.13505464,2.02980301,5675.08274633791
06:55:18:938,41.13041427,2.02653794,5875.08659916126
