Time,lat,lon,Hft
06:53:27:102,41.28997739,2.09669653,0.0003089192190021
06:53:31:164,41.28908533,2.09424629,0.0002358067279309
06:53:35:227,41.28812017,2.09127883,6.94122559204698e-05
06:53:39:281,41.28697998,2.08803445,-0.00018906948857
06:53:43:320,41.28579518,2.08451668,-0.0005746242136135
06:53:47:344,41.28445739,2.08072579,74.9989031348747
06:53:51:367,41.28321131,2.07716297,249.998304807732
06:53:55:383,41.28184746,2.07346046,399.997579551398
06:53:59:391,41.28056846,2.06994056,574.996783364035
06:54:03:391,41.2790179,2.06652282,749.995963621665
06:54:07:383,41.27677499,2.06386325,924.995452376852
06:54:11:359,41.27445479,2.0615084,1024.99504301585
06:54:15:344,41.27164712,2.05974172,1099.99496505676
06:54:19:313,41.26855592,2.05876195,1174.99530958448
06:54:23:281,41.26533388,2.05821287,1249.99593184983
06:54:27:250,41.26192027,2.05784435,1324.99676390415
06:54:31:219,41.25844848,2.05760323,1399.99775714939
06:54:35:188,41.25490868,2.05752859,1524.99893850127
06:54:39:156,41.25126904,2.05750433,1625.00027568792
06:54:43:133,41.24758809,2.05757631,1725.00177295634
06:54:47:109,41.24381125,2.05767869,1800.00342981783
06:54:51:086,41.23988335,2.05775698,1850.00525828668
06:54:55:063,41.23585987,2.05786149,1900.00726592514
06:54:59:047,41.23175151,2.05798278,2000.00945374116
06:55:03:023,41.22756386,2.05809408,2150.01181576426
06:55:07:008,41.2234245,2.05821073,2325.01428866591
06:55:10:984,41.219211,2.05825214,2525.01691248258
06:55:14:969,41.21496626,2.05825205,2700.01967823751
06:55:18:953,41.21074899,2.05825179,2875.0225657366
06:55:22:938,41.20650358,2.05818593,3050.02558634332
06:55:26:922,41.20228002,2.05813621,3250.02873881085
06:55:30:914,41.19801059,2.05804093,3425.03204832007
06:55:34:906,41.19368661,2.05792492,3575.03553690131
06:55:38:891,41.1893862,2.05779199,3750.03914549403
06:55:42:883,41.18503874,2.0576459,3950.04293695031
06:55:46:867,41.18070556,2.05748348,4150.04685661316
06:55:50:859,41.17638139,2.05732333,4350.05091590107
06:55:54:844,41.17206077,2.0571884,4550.05512909554
06:55:58:836,41.16773827,2.05707016,4725.05949725702
06:56:02:828,41.16336273,2.05720418,4850.06417357725
06:56:06:813,41.15901126,2.05797295,4950.06923613071
06:56:10:797,41.15467579,2.05958795,5075.07476367613
06:56:14:789,41.15045134,2.06198432,5200.0805798949
06:56:18:773,41.1462903,2.06477575,5350.08654597148
06:56:22:758,41.14216609,2.06773749,5525.09258612591
06:56:26:734,41.13795745,2.07073786,5700.09879782338
06:56:30:719,41.13379897,2.07373429,5875.10499920845
