Time,lat,lon,Hft
06:54:59:023,41.2894665,2.09539339,0.0002793876147642
06:55:03:086,41.28864809,2.09278099,0.0001593087203055
06:55:07:141,41.28756295,2.08975017,-3.9391768425703e-05
06:55:11:180,41.28639818,2.08637086,-0.0003560261763259
06:55:15:219,41.28515158,2.08263437,-0.000822625523284
06:55:19:242,41.28388058,2.07881277,99.9985808139638
06:55:23:258,41.28240399,2.07509645,224.997917019601
06:55:27:273,41.28107162,2.07126869,399.997089228991
06:55:31:281,41.27957747,2.06744607,599.996167575671
06:55:35:281,41.27784706,2.06400498,774.995303763531
06:55:39:273,41.27566433,2.06082118,924.994538042941
06:55:43:258,41.27331866,2.05804188,1074.99391582486
06:55:47:242,41.27051078,2.05569937,1274.99356257166
06:55:51:219,41.26758625,2.0538786,1449.99348376242
06:55:55:188,41.26444642,2.05286539,1599.99387291242
06:55:59:156,41.26106003,2.05228313,1699.99460361495
06:56:03:133,41.25765704,2.052126,1774.99562358377
06:56:07:102,41.25410292,2.05224936,1849.99691840276
06:56:11:070,41.25048745,2.05253362,1924.99840963671
06:56:15:047,41.24671257,2.05300975,1975.00015563707
06:56:19:016,41.24291976,2.05359895,2050.00207051891
06:56:22:984,41.23894728,2.05413116,2125.00415494547
06:56:26:961,41.23487778,2.05457119,2200.0063686786
06:56:30:938,41.23075478,2.05497976,2300.008725966
06:56:34:914,41.22658419,2.05533178,2450.01121888148
06:56:38:898,41.22236056,2.05558075,2600.01383428055
06:56:42:875,41.21813455,2.05575814,2750.01655928114
06:56:46:867,41.21389694,2.05588659,2925.01941130258
06:56:50:852,41.20963462,2.05596964,3100.02240176354
06:56:54:836,41.20532937,2.05605582,3275.02556767859
06:56:58:820,41.20104785,2.05614589,3450.02886205382
06:57:02:805,41.1967178,2.0562159,3600.03233003474
06:57:06:789,41.19222653,2.05623423,3800.03606081143
06:57:10:773,41.18793148,2.05633951,3975.03981365528
06:57:14:766,41.18356031,2.05630479,4200.04372281001
06:57:18:758,41.17919179,2.0559395,4375.04763642006
06:57:22:750,41.17487454,2.05444236,4575.05115279395
06:57:26:742,41.17076291,2.05290748,4750.05456815251
06:57:30:734,41.16663695,2.05077942,4900.05782677223
06:57:34:742,41.16235957,2.04863325,4975.06132921995
06:57:38:742,41.15831453,2.04575927,5050.0642945683
06:57:42:734,41.15409843,2.0427367,5100.06742466133
06:57:46:734,41.1498332,2.03971559,5200.07067001739
06:57:50:734,41.14537848,2.03662353,5275.07415952193
06:57:54:734,41.14099774,2.03353178,5350.07762422787
06:57:58:727,41.13639569,2.03029405,5475.08133942195
06:58:02:727,41.13180449,2.02705753,5625.08511142408
06:58:06:719,41.12716046,2.02377537,5775.08899070248
06:58:10:727,41.12259202,2.0205091,5950.09284751652
