Time,lat,lon,Hft
06:56:34:898,41.28944779,2.09544914,0.0002844597785547
06:56:38:961,41.28848722,2.09263228,0.000161468973197
06:56:43:016,41.28741053,2.08958716,-4.26031203195453e-05
06:56:47:063,41.28621694,2.08611937,-0.0003728498714044
06:56:51:094,41.28497155,2.08250746,74.9991785472575
06:56:55:125,41.28379406,2.07868877,224.998569202088
06:56:59:133,41.28246848,2.07515514,399.99792821377
06:57:03:148,41.28121598,2.07158989,574.997164567699
06:57:07:156,41.27976829,2.06828467,774.996409061354
06:57:11:141,41.27764719,2.0654977,949.995863341105
06:57:15:125,41.2751724,2.06358151,1124.99566503963
06:57:19:094,41.27239257,2.06194491,1249.99564972752
06:57:23:063,41.26944859,2.06107002,1349.99600165858
06:57:27:031,41.26634682,2.0603989,1424.99653409163
06:57:31:000,41.26313016,2.06003798,1499.99729229402
06:57:34:977,41.25983253,2.0596976,1599.99816424104
06:57:38:953,41.25639644,2.05944832,1674.99920254298
06:57:42:922,41.25289832,2.05931688,1750.0004020939
06:57:46:898,41.24922768,2.05921295,1825.0017765092
06:57:50:875,41.24551219,2.05919278,1900.00330844268
06:57:54:852,41.24162427,2.05919945,1975.00503764055
06:57:58:828,41.23766843,2.05915357,2050.00689694859
06:58:02:805,41.23373069,2.05919405,2125.00890341966
06:58:06:781,41.22941333,2.05900785,2200.01114996602
06:58:10:773,41.225242,2.05894557,2300.01350669732
06:58:14:758,41.22093239,2.05881019,2475.016058025
06:58:18:734,41.21666504,2.05865246,2675.01871857208
06:58:22:727,41.21236748,2.05846513,2900.02153090195
06:58:26:711,41.20809314,2.05825034,3100.02445877651
06:58:30:695,41.20382774,2.05807143,3300.02753731266
06:58:34:680,41.19951527,2.05784623,3475.03077538993
06:58:38:672,41.19521801,2.05764324,3675.03415635844
06:58:42:664,41.19086359,2.0574194,3850.0377213
06:58:46:648,41.18659314,2.05723525,4075.04137816653
06:58:50:641,41.18225833,2.0570524,4275.04523717731
06:58:54:633,41.1778789,2.05680512,4475.04925920009
06:58:58:617,41.17362544,2.05664512,4675.05334358299
06:59:02:609,41.16931641,2.05642918,4850.05760252795
06:59:06:594,41.16498895,2.05638027,5050.06209890193
06:59:10:586,41.16062295,2.0576099,5200.06732104792
06:59:14:570,41.15655918,2.05844472,5375.07217978235
06:59:18:555,41.15264449,2.06094335,5550.07764082096
06:59:22:539,41.14895433,2.06406355,5725.08312036075
06:59:26:516,41.14554909,2.06802346,5900.0885407701
