Time,lat,lon,Hft
07:03:34:359,41.28953316,2.09562116,0.0002874969657883
07:03:38:422,41.2887282,2.0931173,0.0001803765331581
07:03:42:469,41.28774481,2.09031131,5.066052749753e-06
07:03:46:508,41.28660454,2.08712975,-0.0002705602164566
07:03:50:547,41.28544487,2.08374087,-0.0006632220818474
07:03:54:570,41.28420914,2.08007786,49.9988031584284
07:03:58:594,41.28297574,2.07650562,174.998180161374
07:04:02:609,41.28172642,2.07290122,299.997443734237
07:04:06:617,41.2804304,2.06928192,424.996601204156
07:04:10:625,41.279146,2.06568243,549.995654474719
07:04:14:633,41.27777628,2.06197596,674.994575117366
07:04:18:625,41.27601416,2.05857803,849.993583700585
07:04:22:617,41.27401637,2.05574015,999.992799442153
07:04:26:602,41.27148614,2.05356592,1124.99239134596
07:04:30:570,41.26864173,2.05210095,1199.99239716313
07:04:34:563,41.26560672,2.05140228,1249.9928608502
07:04:38:516,41.26213596,2.05128427,1299.99379713767
07:04:42:477,41.25861528,2.05131623,1349.99491420194
07:04:46:445,41.2551436,2.05135161,1424.99611276898
07:04:50:422,41.25145954,2.05108819,1499.99734463814
07:04:54:398,41.24772366,2.05077641,1549.99867893769
07:04:58:375,41.24388896,2.05035184,1625.0001111176
07:05:02:352,41.23998518,2.04987922,1700.00166541749
07:05:06:328,41.23601973,2.04933666,1800.00333390199
07:05:10:313,41.23197375,2.04873752,1900.00513720216
07:05:14:289,41.22790762,2.04810241,2000.00705826209
07:05:18:281,41.22378479,2.04733647,2125.00907275049
07:05:22:266,41.21967978,2.04641872,2275.01112557937
07:05:26:250,41.21554622,2.04543688,2425.01328741089
07:05:30:234,41.21144695,2.04440759,2575.01552462515
07:05:34:227,41.20735308,2.04340143,2725.01789221235
07:05:38:211,41.20328061,2.04236945,2875.02035102823
07:05:42:203,41.19916457,2.04126967,3000.02292512295
07:05:46:195,41.19507036,2.03993343,3150.02546691759
07:05:50:195,41.19120451,2.03748096,3275.0272615888
07:05:54:188,41.18764625,2.03455971,3425.02855287201
07:05:58:188,41.18425776,2.03134623,3550.02951664334
07:06:02:188,41.18136895,2.02734817,3675.02946474443
07:06:06:195,41.17876534,2.02282486,3800.02867100795
07:06:10:195,41.17649756,2.01806392,3900.02722724942
07:06:14:203,41.17476575,2.01278626,3975.02465521268
07:06:18:211,41.17378122,2.00712055,4050.02076226227
07:06:22:227,41.17362617,2.00098159,4125.01530789512
07:06:26:242,41.17417191,1.99508646,4200.00905256303
07:06:30:250,41.17504869,1.98910964,4275.0020649541
07:06:34:266,41.17618496,1.98306992,4349.99442864292
07:06:38:273,41.17732065,1.97686247,4399.98626667242
07:06:42:289,41.1784601,1.97064838,4474.97774491116
07:06:46:305,41.17950866,1.96428866,4549.9687723751
07:06:50:313,41.18045278,1.95779727,4624.95935235502
07:06:54:320,41.18134436,1.95121795,4699.94947189859
07:06:58:336,41.18221098,1.94451586,4799.93903789779
07:07:02:352,41.18311873,1.93783317,4899.92818335962
07:07:06:359,41.18396496,1.93106215,5024.91683507362
07:07:10:367,41.18461865,1.92413432,5224.9049813429
07:07:14:375,41.18543197,1.91731235,5474.89272455203
07:07:18:383,41.18615316,1.91054033,5799.88021299133
