Time,lat,lon,Hft
07:05:14:195,41.2899333,2.09660245,25.000308647098
07:05:18:273,41.28909746,2.09402309,25.0002190531301
07:05:22:328,41.28811341,2.09113416,5.54546389356256e-05
07:05:26:375,41.28692699,2.08784305,-0.0002085850970819
07:05:30:414,41.28570162,2.0842664,-0.0006049594197049
07:05:34:445,41.28433788,2.0803952,99.9988528561076
07:05:38:461,41.28297199,2.07663259,249.998213197121
07:05:42:477,41.28174692,2.07301159,449.997475425016
07:05:46:492,41.28049876,2.06936044,649.996621625637
07:05:50:500,41.2790853,2.06593057,874.995758763404
07:05:54:492,41.27716465,2.06292341,1049.99504648063
07:05:58:477,41.27504067,2.06023142,1174.99444039588
07:06:02:461,41.2724045,2.05799409,1274.99409968631
07:06:06:430,41.26958333,2.05647573,1374.9941182601
07:06:10:406,41.26645858,2.0551548,1424.99434210716
07:06:14:375,41.26324023,2.05418991,1499.99481275453
07:06:18:352,41.25989174,2.053269,1574.99541630482
07:06:22:328,41.25648366,2.05241887,1649.9961522783
07:06:26:305,41.25296882,2.05157633,1724.99701489394
07:06:30:281,41.24928344,2.05069505,1774.99801562844
07:06:34:258,41.24548853,2.0498206,1824.999165069
07:06:38:242,41.24167677,2.0490765,1875.0004917053
07:06:42:219,41.23765583,2.04822027,1925.0019724865
07:06:46:195,41.23356401,2.04741971,1925.00363621122
07:06:50:180,41.22920816,2.04648493,2000.00550399222
07:06:54:164,41.22493186,2.04563422,2100.00750994061
07:06:58:148,41.22050189,2.04471531,2250.00971291166
07:07:02:133,41.21597417,2.04375491,2425.01210407508
07:07:06:125,41.21147752,2.04279241,2625.01462506737
07:07:10:109,41.20705948,2.04187216,2825.01726210222
07:07:14:094,41.20253522,2.04089722,3025.02009408539
07:07:18:086,41.19812077,2.03986031,3225.02295395322
07:07:22:070,41.19373502,2.03833529,3400.02564306654
07:07:26:070,41.18966305,2.03547316,3575.02736788208
07:07:30:070,41.18573027,2.03262668,3750.02903170638
07:07:34:070,41.18223087,2.0287491,3925.02964059088
07:07:38:070,41.17923567,2.02433072,4125.02933706933
07:07:42:078,41.17626944,2.01949573,4300.02857299243
07:07:46:086,41.17355163,2.01466839,4475.02741950474
07:07:50:086,41.17080897,2.00979697,4650.02609381403
07:07:54:086,41.16792268,2.00480386,4825.02464411809
07:07:58:086,41.16511047,1.99987787,5000.02301275312
07:08:02:094,41.16229994,1.99500582,5175.02126908251
07:08:06:094,41.15940297,1.99003824,5350.01936142823
07:08:10:094,41.15659332,1.98509423,5525.01721684584
07:08:14:094,41.15377607,1.98021027,5700.01498309115
07:08:18:094,41.15087401,1.97520342,5850.01254207764
07:08:22:102,41.14797734,1.97020685,5975.0099386359
