Time,lat,lon,Hft
07:06:50:031,41.29042747,2.09788293,25.0003258069003
07:06:54:109,41.28964289,2.09550137,25.0002716141913
07:06:58:172,41.28860051,2.09271762,0.0001582637323439
07:07:02:227,41.28755097,2.08962332,-5.27841141447425e-05
07:07:06:273,41.2863562,2.08616758,-0.0003812464413419
07:07:10:305,41.28506159,2.08250699,49.9991667256289
07:07:14:336,41.28387128,2.0785892,199.998536612088
07:07:18:344,41.28257673,2.07513886,374.997908102515
07:07:22:359,41.28124492,2.07155223,549.997148715839
07:07:26:367,41.27990367,2.0680136,724.996300028525
07:07:30:367,41.27832797,2.06474652,899.995483726671
07:07:34:352,41.27621802,2.06217258,1099.99494784502
07:07:38:336,41.27380268,2.05981015,1224.99452901478
07:07:42:320,41.27139078,2.05780091,1324.99424797341
07:07:46:289,41.26807133,2.0571731,1399.99478607445
07:07:50:266,41.26525275,2.05627917,1474.99515442911
07:07:54:234,41.26209139,2.05584311,1549.9958771783
07:07:58:203,41.258643,2.05546123,1624.99679263305
07:08:02:172,41.25525281,2.05528911,1724.99787107518
07:08:06:141,41.25165396,2.05518583,1774.9991463543
07:08:10:117,41.24791487,2.05507019,1850.00057513647
07:08:14:094,41.24423156,2.05515865,1925.00217760358
07:08:18:063,41.2403025,2.05526415,1975.00400738325
07:08:22:047,41.23621861,2.05535678,2000.00602849368
07:08:26:023,41.23197498,2.05547022,2050.00827470716
07:08:30:000,41.22768946,2.05567478,2125.01072539895
07:08:33:984,41.22320559,2.05580949,2250.01341005462
07:08:37:961,41.21870132,2.05595273,2400.01626920783
07:08:41:945,41.2141851,2.05607791,2600.01928879077
07:08:45:930,41.20957655,2.0561655,2800.02251727048
07:08:49:906,41.20505123,2.05632023,3000.02587869281
07:08:53:891,41.20050494,2.05642298,3225.0293954668
07:08:57:883,41.19585892,2.05647256,3450.03313308768
07:09:01:875,41.19140676,2.05663619,3650.03692241425
07:09:05:859,41.18684821,2.05675307,3850.04094179401
07:09:09:844,41.18218671,2.05679728,4050.04518878559
07:09:13:836,41.17754465,2.05649697,4250.04944214488
07:09:17:828,41.17292107,2.05552318,4475.05355645031
07:09:21:820,41.16850308,2.0541881,4675.05745643561
07:09:25:813,41.16404572,2.05308026,4900.06164030607
07:09:29:805,41.15949749,2.05270122,5075.06640584103
07:09:33:789,41.15486141,2.05390394,5275.07215615473
07:09:37:773,41.15048396,2.05490368,5450.07766896608
07:09:41:758,41.14619846,2.05747742,5625.08387892189
07:09:45:742,41.14221406,2.06060781,5800.09001556355
07:09:49:727,41.13854414,2.06437448,6000.09601361885
