Time,lat,lon,Hft
07:11:13:719,41.2900645,2.09713796,0.0003228371142223
07:11:17:789,41.28924184,2.09460439,0.0002472679847851
07:11:21:852,41.2881838,2.09162865,9.77613737806678e-05
07:11:25:906,41.28703417,2.08836744,-0.000151856306158
07:11:29:938,41.28589761,2.08501365,99.999496797856
07:11:33:969,41.28469786,2.08151953,249.999033414894
07:11:37:992,41.28358659,2.07814194,424.998482567482
07:11:42:000,41.28245493,2.07486375,599.997863157249
07:11:46:008,41.28085166,2.0718283,774.997293787273
07:11:50:000,41.27883587,2.06951086,949.996947659725
07:11:53:977,41.27635068,2.06789948,1124.99689751432
07:11:57:945,41.27384641,2.06684757,1274.99705912277
07:12:01:914,41.27123164,2.0661461,1399.9974011996
07:12:05:883,41.26842984,2.0658205,1499.99796507683
07:12:09:859,41.26547271,2.06532979,1599.99857490908
07:12:13:836,41.26249785,2.06484303,1699.9992570594
07:12:17:805,41.25942449,2.06419359,1799.9999800284
07:12:21:781,41.25634433,2.06364558,1900.00081119644
07:12:25:766,41.25301698,2.06305341,2000.00178853141
07:12:29:750,41.24965608,2.06260841,2075.00291542206
07:12:33:727,41.24616689,2.06223934,2200.00421246205
07:12:37:703,41.24254562,2.0619082,2300.00567603419
07:12:41:688,41.23886969,2.06164352,2425.00729288939
07:12:45:664,41.23507193,2.06138992,2525.00907993114
07:12:49:648,41.23121349,2.06119692,2625.01103475762
07:12:53:633,41.22725185,2.06097434,2725.01315304223
07:12:57:617,41.22313684,2.06064623,2825.01544519816
07:13:01:602,41.21890338,2.06029676,2900.01793490282
07:13:05:586,41.21453795,2.05997016,2950.02066021274
07:13:09:570,41.21006512,2.05962234,3025.02360177998
07:13:13:563,41.20549458,2.05923185,3150.02675585219
07:13:17:547,41.20085776,2.05886704,3250.03013326173
07:13:21:531,41.19604253,2.05847197,3375.03381185373
07:13:25:523,41.19118381,2.05805065,3525.03769806816
07:13:29:508,41.18633976,2.05764068,3700.04176042399
07:13:33:508,41.18135634,2.05700519,3900.04604150907
07:13:37:500,41.1765853,2.05542895,4125.04990422295
07:13:41:492,41.17198991,2.053353,4350.05352048162
07:13:45:492,41.16741722,2.05089399,4600.05705782824
07:13:49:492,41.16322738,2.04767851,4875.05991172811
07:13:53:492,41.1590839,2.04427774,5125.0626556172
07:13:57:492,41.15485723,2.04101453,5400.06560081907
07:14:01:484,41.15063952,2.0379742,5625.06870882554
07:14:05:484,41.1463874,2.0351243,5875.07203224296
