Time,lat,lon,Hft
07:12:53:586,41.29022586,2.09731244,0.0003175052312016
07:12:57:656,41.28939216,2.09498715,0.0002599025614559
07:13:01:719,41.2884045,2.0921409,0.0001250777257606
07:13:05:766,41.28725397,2.08898859,-9.75566539168358e-05
07:13:09:813,41.28607258,2.08554169,-0.0004438479423895
07:13:13:844,41.28482135,2.08184149,-0.0009287498562783
07:13:17:867,41.28353375,2.07805893,149.998462265526
07:13:21:883,41.28220414,2.07430325,349.997747458712
07:13:25:891,41.28095938,2.0707413,549.996958671639
07:13:29:898,41.27957541,2.06714264,724.996073712243
07:13:33:898,41.27787825,2.06401199,924.995305534655
07:13:37:891,41.27573804,2.06123962,1099.99468921661
07:13:41:867,41.27327505,2.05903227,1199.99433039086
07:13:45:844,41.27059607,2.05722087,1299.99418942676
07:13:49:820,41.26753709,2.05641257,1399.99460166768
07:13:53:781,41.26434262,2.05590821,1474.99524884774
07:13:57:750,41.26104595,2.05570576,1549.99613505811
07:14:01:719,41.25767423,2.05564692,1599.9971917728
07:14:05:695,41.25415778,2.05559672,1674.99839360313
07:14:09:664,41.25060761,2.05578339,1749.99980709853
07:14:13:633,41.24686803,2.05590474,1825.001369355
07:14:17:617,41.24302146,2.05609127,1875.0031154348
07:14:21:594,41.23914915,2.05635374,1950.00502199647
07:14:25:570,41.2350834,2.05651842,2000.00710110354
07:14:29:547,41.23086099,2.0566795,2050.00939236151
07:14:33:523,41.22656513,2.05681169,2125.01185354595
07:14:37:508,41.22212476,2.05689459,2225.01452703999
07:14:41:484,41.21754464,2.05691439,2375.01742002392
07:14:45:469,41.21299923,2.05694125,2525.0204564248
07:14:49:461,41.20837634,2.05689843,2725.02368251204
07:14:53:438,41.20364055,2.05684076,2900.02715420523
07:14:57:430,41.19901656,2.05675409,3125.03070247857
07:15:01:414,41.19435114,2.05663901,3350.03444069833
07:15:05:398,41.18970164,2.05653156,3575.03833910069
07:15:09:391,41.18500839,2.05635824,3775.04241781255
07:15:13:375,41.18021907,2.05574909,3975.04657229519
07:15:17:375,41.17576137,2.05395318,4175.05005432809
07:15:21:375,41.17124696,2.05182653,4400.05356621935
07:15:25:367,41.16698622,2.04918066,4625.05667652051
07:15:29:367,41.16256048,2.04697602,4850.06026984139
07:15:33:367,41.15835452,2.04411918,5075.06337716953
07:15:37:359,41.15410235,2.04118978,5300.06655948014
07:15:41:359,41.14991322,2.03827649,5500.06973876291
07:15:45:359,41.1455951,2.03534732,5700.07312370053
07:15:49:352,41.1412813,2.03244486,5925.076588494
