Time,lat,lon,Hft
07:14:09:547,41.28949755,2.09530211,0.0002709879893064
07:14:13:609,41.28858786,2.09257544,0.000146994973272
07:14:17:672,41.28753594,2.08950278,-6.52689703181386e-05
07:14:21:711,41.28631658,2.08609575,-0.0003874858139082
07:14:25:742,41.28504905,2.08240095,-0.0008527071211859
07:14:29:773,41.28382716,2.07852319,149.998526327565
07:14:33:789,41.2825118,2.07485936,299.997844422954
07:14:37:797,41.28123587,2.07120971,474.997049858072
07:14:41:805,41.2799067,2.06755456,674.996151466429
07:14:45:805,41.27834918,2.06415956,849.995272966402
07:14:49:805,41.27634894,2.0612401,1049.99457118222
07:14:53:789,41.27401654,2.0585378,1149.99397423671
07:14:57:766,41.27132877,2.05647095,1249.9937033855
07:15:01:742,41.26833773,2.05491662,1324.99374984415
07:15:05:719,41.26516873,2.05354794,1399.99397612628
07:15:09:688,41.26190493,2.05239954,1474.99439351593
07:15:13:664,41.2585014,2.05130624,1574.99495387626
07:15:17:641,41.25490821,2.0503215,1624.99571113773
07:15:21:617,41.25135397,2.04953087,1699.99664081898
07:15:25:594,41.24755793,2.04869756,1774.99774127632
07:15:29:570,41.24362591,2.04790699,1799.99902760743
07:15:33:555,41.2395683,2.04717478,1850.00051878656
07:15:37:531,41.23547065,2.04650877,1975.00219029891
07:15:41:508,41.23122848,2.04577618,2125.0040324955
07:15:45:492,41.22708188,2.0451229,2325.00599917057
07:15:49:477,41.22284906,2.04441004,2525.00811633613
07:15:53:461,41.2186523,2.04369029,2725.01034204294
07:15:57:445,41.2144048,2.04296838,2900.01273271748
07:16:01:430,41.21011865,2.04222175,3075.01527315223
07:16:05:422,41.20592,2.04151207,3275.01790930709
07:16:09:406,41.20174457,2.04077313,3450.02064348017
07:16:13:391,41.19747757,2.03992988,3625.02352244213
07:16:17:383,41.1931708,2.03860579,3800.02628753708
07:16:21:375,41.18932238,2.03594923,4000.02797111513
07:16:25:375,41.18563589,2.0332212,4175.02951309139
07:16:29:375,41.18228902,2.02951578,4350.03012178034
07:16:33:375,41.1794156,2.02512768,4525.02975422443
07:16:37:383,41.17694546,2.02031611,4700.02856010443
07:16:41:398,41.17479676,2.01515708,4875.02660088213
07:16:45:398,41.17326324,2.00990632,5075.02373871367
07:16:49:414,41.17237714,2.00363194,5250.01905286111
07:16:53:422,41.17183687,1.99833473,5425.01460753606
07:16:57:430,41.17199397,1.99239761,5600.00854856322
07:17:01:438,41.17262679,1.98653412,5775.00176459789
07:17:05:453,41.17334911,1.98075904,5974.99467526979
