Time,lat,lon,Hft
07:15:49:383,41.29001109,2.09657947,0.0003002201525494
07:15:53:453,41.28910774,2.09400017,0.0002156127939
07:15:57:508,41.28805414,2.09109651,5.74071164429188e-05
07:16:01:563,41.28698045,2.0878926,-0.000207726495862
07:16:05:594,41.2857348,2.0843468,-0.0005955239728465
07:16:09:625,41.2843833,2.08045943,-0.0011431496085971
07:16:13:648,41.28304714,2.07653495,149.998176552984
07:16:17:664,41.28179703,2.07282324,324.997412986356
07:16:21:672,41.28043877,2.06895394,524.996502504018
07:16:25:680,41.27911424,2.0652018,724.995501538557
07:16:29:680,41.27755261,2.06182592,924.994566911497
07:16:33:672,41.27554366,2.058803,1124.99377410336
07:16:37:656,41.27332336,2.05621799,1299.99315908085
07:16:41:648,41.27077465,2.05399345,1449.99275684802
07:16:45:625,41.26804486,2.05258125,1599.9927818961
07:16:49:594,41.26499923,2.0514974,1724.99308746862
07:16:53:570,41.26195974,2.05113061,1874.99379555994
07:16:57:539,41.25886685,2.05096489,1999.99468658239
07:17:01:508,41.2557603,2.0508183,2099.99566483096
07:17:05:484,41.25265515,2.05080401,2199.99678069711
07:17:09:461,41.24946534,2.05078469,2299.99800284648
07:17:13:438,41.24632661,2.05093513,2374.99936285499
07:17:17:414,41.2430484,2.05103998,2475.00084090114
07:17:21:391,41.23978434,2.05124278,2575.00244235975
07:17:25:367,41.23655603,2.05150876,2700.00413929097
07:17:29:352,41.23334537,2.05183573,2800.00593542289
07:17:33:328,41.23003869,2.05214946,2900.00785757669
07:17:37:313,41.22683067,2.05253061,3025.00983948713
07:17:41:289,41.22347067,2.0528172,3125.01194747463
07:17:45:281,41.22026557,2.05319488,3250.01408832101
07:17:49:266,41.2169541,2.05353474,3350.01635953135
07:17:53:250,41.21374287,2.05389669,3475.01865837258
07:17:57:227,41.21041873,2.05422551,3575.02110043234
07:18:01:219,41.20711685,2.05453396,3650.02360200465
07:18:05:203,41.20370808,2.05480041,3725.02625030916
07:18:09:188,41.20023652,2.0551142,3800.02905888182
07:18:13:172,41.19677542,2.05543404,3850.03195443921
07:18:17:156,41.19320701,2.05572918,3925.03502301221
07:18:21:148,41.18956769,2.05607456,3975.03827290914
07:18:25:133,41.18593368,2.05677063,4025.04176963099
07:18:29:117,41.1822522,2.05875326,4075.04593665457
07:18:33:102,41.17882945,2.06070028,4125.04991377757
07:18:37:078,41.17568563,2.06397003,4175.05415342475
07:18:41:055,41.17292058,2.06788085,4225.0581992939
07:18:45:031,41.17045876,2.0722528,4300.06198424892
07:18:49:008,41.16857284,2.07707979,4350.06514971876
07:18:52:984,41.16709344,2.08239899,4425.06779352554
07:18:56:961,41.16592847,2.08790488,4500.0698843687
07:19:00:938,41.16502243,2.09354826,4575.07143966774
07:19:04:914,41.16406141,2.09930165,4675.07276677729
07:19:08:883,41.16330056,2.10521366,4750.07357218442
07:19:12:859,41.16262694,2.11117458,4850.07395877424
07:19:16:836,41.16229737,2.11728132,4925.07362382451
07:19:20:805,41.16193884,2.1235085,5025.07295009072
07:19:24:781,41.16154419,2.12985929,5100.07192215508
07:19:28:750,41.16112988,2.13631455,5200.07050817259
07:19:32:727,41.16069559,2.14289321,5300.0686818018
07:19:36:703,41.16035856,2.14951864,5375.0663251273
07:19:40:672,41.15987484,2.15628551,5450.0636496948
07:19:44:648,41.15944836,2.16318113,5525.06041252933
07:19:48:625,41.15894307,2.17019972,5600.05674239052
07:19:52:594,41.15841444,2.17729457,5675.05258720007
07:19:56:570,41.15806129,2.1844286,5750.0477390115
07:20:00:547,41.15746114,2.19181071,5850.04248646129
07:20:04:523,41.15674128,2.19926454,5900.03679624176
07:20:08:508,41.15538741,2.20679252,5950.03123708266
07:20:12:484,41.15341101,2.21414717,6000.02605922195
