Time,lat,lon,Hft
07:17:21:305,41.28957119,2.09550636,0.0002772762501984
07:17:25:375,41.28842912,2.09241963,25.0001489075493
07:17:29:430,41.28720214,2.08893296,124.999905064084
07:17:33:469,41.2859834,2.0854249,274.999557054515
07:17:37:500,41.28457997,2.0817225,474.999093888136
07:17:41:516,41.28315053,2.07804967,699.998529284412
07:17:45:516,41.28107794,2.07477991,949.998054919191
07:17:49:516,41.27910852,2.07151481,1199.99749831158
07:17:53:508,41.27656629,2.06895333,1399.99719581974
07:17:57:477,41.27342551,2.06693476,1549.99718469657
07:18:01:445,41.27014163,2.06570438,1699.99751562057
07:18:05:406,41.26652304,2.06526416,1849.99827798404
07:18:09:375,41.26282954,2.06531387,1999.99933100389
07:18:13:336,41.2590226,2.06558416,2225.0006042101
07:18:17:305,41.25518183,2.06586066,2450.00200350848
07:18:21:273,41.25121493,2.06596288,2675.00350683204
07:18:25:258,41.24735073,2.0660029,2900.00506916382
07:18:29:234,41.24341326,2.06583278,3150.00671048978
07:18:33:211,41.23954191,2.06556733,3375.00840782361
07:18:37:195,41.23566519,2.06519739,3600.01018826759
07:18:41:180,41.231822,2.0647992,3825.01205696722
07:18:45:164,41.22787847,2.06433074,4050.01407156795
07:18:49:148,41.22387535,2.063848,4250.01623530576
07:18:53:133,41.21982117,2.0633503,4450.01854882517
07:18:57:125,41.21577688,2.06282569,4625.02097141156
07:19:01:117,41.21164469,2.06218333,4825.02353739334
07:19:05:102,41.20751602,2.0615203,5000.02622205171
07:19:09:094,41.20326505,2.06082183,5175.02911524323
07:19:13:086,41.19903614,2.06009914,5375.03211940191
07:19:17:070,41.19472888,2.05939928,5550.03533186781
07:19:21:063,41.19035018,2.05869319,5700.03874344993
07:19:25:055,41.18596268,2.0580947,5875.04235375986
