Time,lat,lon,Hft
07:22:08:898,41.2898959,2.09673879,0.0003178046721965
07:22:12:961,41.28900573,2.09426367,0.0002442460751533
07:22:17:023,41.28809839,2.09132365,7.6021346449852e-05
07:22:21:063,41.28694659,2.08809208,-0.0001780085048824
07:22:25:102,41.28573573,2.08460592,-0.0005532172380015
07:22:29:133,41.28443002,2.08088561,74.9989381969708
07:22:33:148,41.28311539,2.07728007,224.998344101903
07:22:37:164,41.28166068,2.07355985,374.9976325618
07:22:41:172,41.28026406,2.06994037,574.996831103485
07:22:45:172,41.27871734,2.06662478,749.99604809458
07:22:49:164,41.27642799,2.06378966,899.995490131041
07:22:53:148,41.27405943,2.06140519,1074.9950865536
07:22:57:133,41.27127863,2.05950946,1174.99495913157
07:23:01:102,41.26831555,2.05801837,1274.9950705229
07:23:05:078,41.26505002,2.05688344,1349.99546215452
07:23:09:047,41.26171854,2.0560848,1424.99608902454
07:23:13:023,41.25826797,2.05532919,1499.99685408963
07:23:17:000,41.25465027,2.05440662,1549.99769121629
07:23:20:969,41.25096449,2.05359001,1649.99869798509
07:23:24:953,41.2472347,2.05280189,1724.99983480312
07:23:28:938,41.243287,2.05192281,1800.00112867184
07:23:32:914,41.23924953,2.05101481,1900.00256663261
07:23:36:898,41.23522487,2.05019055,2050.00415958735
07:23:40:875,41.2310936,2.04920045,2250.00585026338
07:23:44:859,41.22698527,2.04823996,2475.00766752638
07:23:48:844,41.22297085,2.04727832,2675.00954985993
07:23:52:836,41.21892952,2.04623305,2850.01152234678
07:23:56:820,41.21483372,2.04518197,3025.01364564495
07:24:00:805,41.21069861,2.04408043,3200.01589013422
07:24:04:797,41.20658774,2.04296518,3400.0182326658
07:24:08:789,41.20235798,2.04178995,3575.02075243607
07:24:12:781,41.19820801,2.04061965,3750.02333864863
07:24:16:773,41.19405339,2.03906077,3925.02582350652
07:24:20:766,41.19030685,2.03629684,4100.02733748199
07:24:24:766,41.18669796,2.03294769,4300.02839327589
07:24:28:766,41.18333722,2.02950488,4475.02915525419
07:24:32:766,41.18047014,2.02511904,4650.02875928805
07:24:36:773,41.17780068,2.02047056,4825.02785936271
07:24:40:773,41.17515726,2.01562798,4975.0266312044
07:24:44:773,41.17238136,2.01082745,5125.02540735436
07:24:48:781,41.16962358,2.00606851,5300.02404844709
07:24:52:781,41.16682072,2.00129843,5475.02257450559
07:24:56:789,41.16398989,1.99647245,5650.02092470362
07:25:00:789,41.16111004,1.99165247,5850.01918081894
