Time,lat,lon,Hft
07:23:36:805,41.28972091,2.09591765,0.0002887650067359
07:23:40:867,41.28871739,2.09332071,0.0001981107733026
07:23:44:922,41.28775729,2.09044056,1.78717385604978e-05
07:23:48:961,41.28667747,2.08728562,-0.0002569509287923
07:23:53:000,41.28547997,2.08381817,-0.0006542052412778
07:23:57:023,41.28415392,2.08002964,24.998799546983
07:24:01:047,41.2827863,2.07614807,99.9981182387371
07:24:05:063,41.28155189,2.07252462,224.997364202636
07:24:09:078,41.28006461,2.06855353,349.996431983866
07:24:13:086,41.27870421,2.06481999,524.995432613566
07:24:17:086,41.27719113,2.06093725,674.994287650956
07:24:21:086,41.27550086,2.0574616,824.993224264628
07:24:25:078,41.27334581,2.05402615,999.99218688671
07:24:29:070,41.2711153,2.05088208,1149.99123127775
07:24:33:047,41.26851322,2.04844653,1249.99066865796
07:24:37:023,41.26550794,2.04670853,1349.99057437305
07:24:41:000,41.26237363,2.04577352,1449.99098418789
07:24:44:969,41.25916911,2.04588449,1549.99203704309
07:24:48:938,41.25570254,2.04604885,1674.99328947249
07:24:52:906,41.25234134,2.04650611,1774.99474675943
07:24:56:883,41.2490032,2.04699887,1899.99629985203
07:25:00:852,41.24573486,2.04755803,2024.99794144472
07:25:04:828,41.24242253,2.04807677,2149.99966296982
07:25:08:805,41.23916446,2.04864033,2250.0014631442
07:25:12:781,41.23573949,2.04907439,2375.00336423612
07:25:16:758,41.23225521,2.04943296,2475.00534886004
07:25:20:734,41.2289342,2.04991017,2600.00739447807
07:25:24:711,41.2256242,2.05047133,2700.00955730299
07:25:28:695,41.22212444,2.05088687,2800.01184928171
07:25:32:680,41.21883893,2.05144631,2925.01416766299
07:25:36:656,41.21527849,2.05185316,3025.01667787613
07:25:40:641,41.2121147,2.05248027,3150.01911460688
07:25:44:633,41.20847679,2.05287204,3225.02185622393
07:25:48:617,41.20510721,2.05340367,3300.02456369247
07:25:52:602,41.20149961,2.05388331,3375.02751783013
07:25:56:586,41.19759123,2.05426247,3425.030767559
07:26:00:570,41.19385327,2.05487991,3475.0340989222
07:26:04:555,41.19029099,2.05598856,3500.03759646618
07:26:08:531,41.18666744,2.05784629,3550.04154889751
07:26:12:523,41.18301953,2.06039626,3600.04586588603
07:26:16:500,41.17942492,2.06338549,3650.05033585528
07:26:20:477,41.17607085,2.06659321,3700.0546626673
07:26:24:453,41.17256925,2.06996446,3750.05917865575
07:26:28:438,41.16906083,2.07347932,3800.06373068712
07:26:32:414,41.16554809,2.07713873,3850.06830282687
07:26:36:391,41.16197168,2.08089834,3900.07293621452
07:26:40:375,41.15827453,2.0847186,3975.07768360651
07:26:44:352,41.15438264,2.08863607,4050.0826374814
07:26:48:336,41.15055901,2.0926241,4125.08749396158
07:26:52:313,41.14680234,2.09664992,4200.09223893055
07:26:56:297,41.14292371,2.10073747,4325.09709705118
07:27:00:273,41.13891117,2.10488988,4450.1020859542
07:27:04:266,41.13470192,2.10907047,4600.10729562755
07:27:08:250,41.13068328,2.11323493,4775.11223115944
07:27:12:234,41.12665133,2.11741877,4950.11714809542
07:27:16:219,41.122737,2.12166611,5125.12185487578
07:27:20:203,41.11927568,2.12615201,5275.1258159749
07:27:24:180,41.11585963,2.13125274,5450.12945369896
07:27:28:164,41.11328222,2.13687714,5600.13153701888
07:27:32:141,41.11113476,2.14320036,5750.13247217508
07:27:36:125,41.10930445,2.14959913,5925.13256178918
