Time,lat,lon,Hft
07:26:24:734,41.28757096,2.08973515,-4.19278503209352e-05
07:26:28:773,41.28643591,2.08644579,174.999656319924
07:26:32:797,41.28532201,2.08331044,399.999289888084
07:26:36:820,41.28422328,2.08026026,599.998856128032
07:26:40:828,41.28303748,2.07728003,824.99837391947
07:26:44:820,41.28116928,2.07494846,1049.99808694644
07:26:48:813,41.2795217,2.07281483,1249.99779330033
07:26:52:789,41.27728358,2.07158617,1449.99784456747
07:26:56:758,41.27488365,2.07085309,1574.99809558979
07:27:00:727,41.27214059,2.07073154,1674.99864106056
07:27:04:695,41.26938036,2.07080771,1774.99930668051
07:27:08:664,41.26642849,2.07081348,1875.00006173248
07:27:12:633,41.26350513,2.07074502,1950.00085384504
07:27:16:609,41.26030695,2.07042662,2050.00172559039
07:27:20:586,41.25704144,2.07005022,2175.00268223319
07:27:24:563,41.25357373,2.06953832,2300.00375332357
07:27:28:547,41.24994839,2.0689505,2425.00495415133
07:27:32:523,41.24628397,2.06837321,2575.00627471865
07:27:36:508,41.24244912,2.06773528,2725.00775439303
07:27:40:492,41.23849327,2.06709725,2875.0094032699
07:27:44:477,41.23443132,2.0664347,3050.01121763969
07:27:48:469,41.23039586,2.06579798,3275.01315254022
07:27:52:453,41.22631035,2.06514377,3500.01523374519
07:27:56:438,41.22204616,2.06442506,3725.01752790464
07:28:00:430,41.21785708,2.06376179,3975.0199315921
07:28:04:414,41.21361754,2.06306542,4225.02249059471
07:28:08:406,41.2093863,2.06237123,4475.02518066387
07:28:12:391,41.20509726,2.06166291,4725.02804413686
07:28:16:383,41.20082892,2.0609352,5000.03102434888
07:28:20:375,41.19661121,2.06027116,5250.03412544359
07:28:24:367,41.19227418,2.05955274,5500.03744119776
07:28:28:352,41.18794785,2.05880744,5750.04087956079
07:28:32:352,41.1836147,2.05811303,6000.04448685744
