Time,lat,lon,Hft
07:28:04:492,41.28936062,2.09487381,0.0002551451162621
07:28:08:547,41.28848256,2.09230356,0.0001325668061524
07:28:12:602,41.2874252,2.08926359,-8.21598868444562e-05
07:28:16:641,41.28624225,2.08594443,-0.0004017856491729
07:28:20:672,41.28508463,2.08235126,-0.0008661116889864
07:28:24:695,41.28388313,2.07845215,49.9985002402513
07:28:28:711,41.28247303,2.07478036,174.997825858511
07:28:32:727,41.2811164,2.0709842,324.996998116968
07:28:36:734,41.27975529,2.0672351,474.996066438846
07:28:40:742,41.27831341,2.06360777,674.995077451024
07:28:44:734,41.27648321,2.0601688,849.994127079048
07:28:48:727,41.27438338,2.05722859,1024.9933565
07:28:52:711,41.27191845,2.0547773,1149.99283518455
07:28:56:688,41.26909719,2.05298182,1299.99269421399
07:29:00:664,41.26615946,2.05173681,1449.99287543277
07:29:04:641,41.26296169,2.05076423,1524.99331308052
07:29:08:609,41.25966872,2.0505279,1574.99420664264
07:29:12:578,41.2561857,2.05061025,1624.99540263101
07:29:16:547,41.25257612,2.05082042,1674.99680120037
07:29:20:516,41.2489306,2.05102015,1749.99831108521
07:29:24:484,41.24521923,2.05138479,1825.00003042292
07:29:28:461,41.24146926,2.05185552,1875.00192249854
07:29:32:438,41.23746115,2.05225382,1925.00401511408
07:29:36:406,41.2334481,2.0526963,2000.00625532023
07:29:40:383,41.22935829,2.05316025,2100.00867255389
07:29:44:367,41.22528063,2.05360361,2250.01120365726
07:29:48:352,41.22115764,2.05394367,2425.01384546502
07:29:52:328,41.21696967,2.05417555,2575.01661243928
07:29:56:313,41.21280777,2.05445085,2725.01951760252
07:30:00:297,41.20849933,2.05462989,2875.02262024708
07:30:04:281,41.20440774,2.05489085,3025.02574135311
07:30:08:266,41.20015017,2.05511697,3200.02910847417
07:30:12:250,41.19597675,2.05535767,3350.03255418034
07:30:16:234,41.19176271,2.05559655,3525.03617054326
07:30:20:219,41.18755499,2.05584146,3650.03992126387
07:30:24:211,41.18319979,2.05593726,3800.04388234772
07:30:28:203,41.17881411,2.05561229,3950.0478400491
07:30:32:195,41.17443782,2.0546411,4100.05165505463
07:30:36:195,41.17032075,2.05309819,4250.05508845928
07:30:40:188,41.16627859,2.05086427,4375.05822600112
07:30:44:188,41.16211774,2.04819657,4450.06135537592
07:30:48:180,41.15814546,2.04531819,4525.06423337001
07:30:52:180,41.15400421,2.04231193,4600.06728073158
07:30:56:188,41.14979697,2.03932243,4675.07046656323
07:31:00:180,41.14540568,2.0362661,4750.07389091797
07:31:04:180,41.14101531,2.03320352,4800.07737432387
07:31:08:180,41.13652076,2.03007145,4900.08101108292
07:31:12:172,41.13202967,2.02694308,5000.08471392982
07:31:16:172,41.12735916,2.02376664,5150.08869463011
07:31:20:172,41.12282975,2.0205924,5300.09255883257
07:31:24:164,41.11837917,2.0171343,5450.0961541584
07:31:28:164,41.11412815,2.01321552,5600.09912189869
07:31:32:164,41.11041113,2.0084161,5750.10052605283
07:31:36:172,41.10762601,2.00194792,5900.09886484172
