Time,lat,lon,Hft
07:29:28:391,41.28912328,2.0943383,0.0002390486350283
07:29:32:453,41.28818833,2.0916191,9.63955561816692e-05
07:29:36:500,41.28708714,2.08841777,-0.0001510496487841
07:29:40:539,41.28586065,2.08494132,-0.0005136604714766
07:29:44:570,41.28454596,2.08122501,-0.0010123947260156
07:29:48:594,41.28314577,2.07735609,124.998354277505
07:29:52:609,41.28176151,2.07354594,274.997610846936
07:29:56:625,41.28034594,2.0697184,474.996748382101
07:30:00:625,41.27867483,2.06609505,674.995876888203
07:30:04:609,41.27636958,2.06327703,849.995315655077
07:30:08:594,41.27385326,2.06093189,999.994946666306
07:30:12:570,41.27093318,2.05921678,1149.99492116385
07:30:16:539,41.26780851,2.0575774,1249.99501618371
07:30:20:516,41.26454696,2.05657062,1324.99546924962
07:30:24:484,41.26094875,2.05591438,1374.99624922277
07:30:28:453,41.25727393,2.05569038,1449.99733989939
07:30:32:422,41.25339159,2.05560027,1549.99866996974
07:30:36:398,41.24945246,2.05550604,1625.00013727591
07:30:40:367,41.24531685,2.05534081,1650.00177717961
07:30:44:344,41.24104898,2.05532199,1700.00367592544
07:30:48:313,41.23670798,2.05533016,1800.00576638952
07:30:52:289,41.23239511,2.05548076,1975.0080532772
07:30:56:273,41.22808081,2.05563926,2200.01049100639
07:31:00:258,41.22374999,2.05578095,2400.01307576128
07:31:04:234,41.21945202,2.0559476,2575.01579612952
07:31:08:219,41.21507141,2.05605536,2750.01869054936
07:31:12:203,41.21072447,2.05616665,2925.02171298023
07:31:16:188,41.20640125,2.05630072,3100.02487559532
07:31:20:172,41.20192816,2.05633992,3300.02826010517
07:31:24:156,41.19759176,2.05642605,3450.03171003101
07:31:28:141,41.19315007,2.05648832,3625.03538628213
07:31:32:125,41.18871389,2.05657842,3775.03922357768
07:31:36:117,41.18417413,2.05662444,3950.04329161067
07:31:40:102,41.17976392,2.05677001,4125.04744147049
07:31:44:094,41.17530293,2.05690187,4300.05178802333
07:31:48:086,41.1708631,2.05733474,4475.05639558788
07:31:52:063,41.16642874,2.05854658,4650.0614698465
07:31:56:047,41.16225362,2.0607549,4825.06679341725
07:32:00:031,41.15841127,2.06374563,5025.07212206303
07:32:04:008,41.15481014,2.0673251,5200.07740026236
07:32:07:984,41.15172421,2.0716617,5375.08227796547
07:32:11:969,41.14901498,2.07646687,5550.08672129885
07:32:15:945,41.14645769,2.0814866,5725.09086541124
07:32:19:922,41.14413064,2.08662003,5900.09456058825
