Time,lat,lon,Hft
07:30:56:250,41.28955257,2.09578009,0.0002952274322882
07:31:00:313,41.28866689,2.09308562,0.0001834320535138
07:31:04:367,41.28761018,2.09011343,-3.18385221064091e-06
07:31:08:406,41.28648339,2.08677824,-0.0003067100777849
07:31:12:438,41.28527811,2.08333997,124.999291472819
07:31:16:461,41.28408069,2.08001687,299.998815125105
07:31:20:477,41.28291225,2.07661553,449.998223770839
07:31:24:492,41.28167563,2.07324458,624.997554250072
07:31:28:492,41.28006256,2.07021666,774.996951795101
07:31:32:477,41.27795336,2.06776371,924.996555648865
07:31:36:461,41.27565877,2.0657768,1074.99633219453
07:31:40:430,41.27287655,2.06441902,1174.99643766426
07:31:44:406,41.26999434,2.06365598,1274.99682407076
07:31:48:375,41.2668696,2.06297152,1349.99736072654
07:31:52:344,41.2636638,2.06256188,1449.99809432875
07:31:56:313,41.26033981,2.06221897,1549.99896794103
07:32:00:289,41.25691426,2.06206534,1650.00003148445
07:32:04:258,41.25332436,2.06192838,1750.00125262855
07:32:08:234,41.24964062,2.06181914,1850.002621449
07:32:12:211,41.24578108,2.06173031,1925.00417752415
07:32:16:188,41.24172804,2.06153459,2000.00589775407
07:32:20:164,41.23756665,2.06140896,2125.00782695373
07:32:24:148,41.23324877,2.06124894,2250.0099599352
07:32:28:125,41.228792,2.06102548,2425.01229313234
07:32:32:109,41.2243637,2.06082648,2600.0147735139
07:32:36:094,41.21971114,2.06051955,2750.01750531913
07:32:40:078,41.21495273,2.06020958,2925.0204757206
07:32:44:063,41.21021527,2.05988625,3075.02360162379
07:32:48:047,41.20525132,2.05944664,3225.02702428217
07:32:52:039,41.2003122,2.05902588,3425.03062798894
07:32:56:023,41.19520268,2.05851972,3625.0345266512
07:33:00:008,41.19016432,2.05808558,3850.03859684102
07:33:04:008,41.18501822,2.05760621,4100.04294380276
07:33:07:992,41.17988539,2.05714633,4375.04749321699
07:33:11:984,41.17475198,2.05670386,4625.05225499617
07:33:15:969,41.16971911,2.05651546,4900.05722854717
07:33:19:953,41.16446957,2.05749155,5150.06312103694
07:33:23:938,41.15965791,2.05847565,5425.06874293575
07:33:27:922,41.15472102,2.06115125,5675.07533917602
07:33:31:906,41.15007515,2.06408622,5925.08181046995
