Time,lat,lon,Hft
07:32:20:141,41.28963121,2.09553999,0.0002741657304763
07:32:24:211,41.28877176,2.0930155,0.0001678244555369
07:32:28:258,41.28767441,2.08999058,-2.33991748839617e-05
07:32:32:305,41.2865881,2.08674453,-0.0003229898902401
07:32:36:336,41.28531534,2.0831611,-0.0007482847130298
07:32:40:359,41.28404367,2.07956611,49.9987184563486
07:32:44:383,41.28275708,2.07583464,174.998048639555
07:32:48:391,41.28150703,2.07213206,349.997266208145
07:32:52:406,41.28021037,2.06841659,499.996370786827
07:32:56:406,41.27887482,2.06478594,699.995397464657
07:33:00:406,41.27724725,2.06157785,874.994527180926
07:33:04:406,41.27540096,2.05848882,1049.99367258729
07:33:08:391,41.27336956,2.05580553,1199.99296926654
07:33:12:375,41.2709462,2.05331548,1324.992407661
07:33:16:359,41.26841749,2.05130022,1449.99208558381
07:33:20:336,41.26555052,2.04972321,1599.99208221555
07:33:24:313,41.26262388,2.04863127,1724.99237871318
07:33:28:289,41.2595254,2.04784022,1824.99293691325
07:33:32:258,41.25624928,2.04727855,1924.99374228659
07:33:36:234,41.25286351,2.04674259,2024.99468208143
07:33:40:211,41.24953277,2.04637588,2124.99577448118
07:33:44:188,41.24602276,2.04586817,2224.99695424132
07:33:48:164,41.24234834,2.0453288,2324.99828520999
07:33:52:148,41.23869367,2.04486108,2424.99974739187
07:33:56:125,41.23501318,2.04441942,2575.00134046883
07:34:00:109,41.23116047,2.04393493,2700.00310635398
07:34:04:086,41.22738871,2.04353565,2825.00498630475
07:34:08:070,41.22347994,2.04303562,2975.00700348794
07:34:12:055,41.21959177,2.04256778,3125.00914260166
07:34:16:039,41.21554252,2.04202339,3275.01146167942
07:34:20:023,41.21156463,2.04155611,3425.01390029525
07:34:24:008,41.20754456,2.04105467,3550.01647109307
07:34:27:992,41.20346348,2.04058305,3675.01922940817
07:34:31:984,41.19927268,2.03988681,3825.02207364128
07:34:35:977,41.19503217,2.03854154,3975.02470967733
07:34:39:969,41.19123041,2.03592529,4125.02631890271
07:34:43:969,41.18746143,2.03344438,4300.02803618945
07:34:47:969,41.18401745,2.0300327,4475.02889056363
07:34:51:969,41.18070255,2.02626021,4625.02935342805
07:34:55:969,41.17768538,2.02208586,4750.02918414521
07:34:59:969,41.1749053,2.01751184,4850.02837579742
07:35:03:977,41.17244752,2.01256473,4950.02679940792
07:35:07:984,41.17064931,2.00649462,5075.02337726089
07:35:11:992,41.1689882,2.00061446,5175.01967482199
07:35:16:000,41.16773573,1.99499551,5275.01550806316
07:35:20:016,41.16724811,1.98841189,5375.00924258656
07:35:24:023,41.16741459,1.98184452,5450.00191050438
07:35:28:031,41.16815149,1.97525936,5599.99356701081
07:35:32:047,41.16920551,1.96867583,5749.98450016251
07:35:36:055,41.17021723,1.96203013,5924.97500078374
