Time,lat,lon,Hft
07:34:19:984,41.28965912,2.09567036,0.0002796106677502
07:34:24:047,41.28870012,2.09300771,0.000173804108873
07:34:28:102,41.28768751,2.08996575,-2.75119052827358e-05
07:34:32:148,41.28649507,2.0866225,-0.0003302589731663
07:34:36:180,41.285212,2.08292788,-0.0007772143797576
07:34:40:211,41.28384875,2.0789734,99.9986196007392
07:34:44:227,41.28253344,2.07517849,274.997920908919
07:34:48:242,41.28118217,2.07138241,474.997107414909
07:34:52:250,41.2798207,2.06775706,674.996230194966
07:34:56:242,41.2779647,2.06457074,874.995485150723
07:35:00:227,41.27544223,2.06222888,1074.99511732269
07:35:04:203,41.27287847,2.06029647,1224.9949150095
07:35:08:180,41.26992346,2.05898979,1324.99507272557
07:35:12:148,41.266812,2.05823245,1424.9955488727
07:35:16:117,41.26359707,2.05774644,1499.99623608314
07:35:20:086,41.26015839,2.05735695,1574.99711176112
07:35:24:055,41.25674239,2.05723085,1649.99818052355
07:35:28:031,41.25315239,2.05714672,1724.99942154399
07:35:32:000,41.24955698,2.05724337,1800.00084057905
07:35:35:977,41.24568777,2.05727637,1875.00245029691
07:35:39:953,41.24178697,2.05738153,1950.00422116597
07:35:43:930,41.23777879,2.05753832,2000.00618363772
07:35:47:906,41.23362339,2.05765577,2025.00833078225
07:35:51:883,41.22938353,2.05779207,2100.01066875284
07:35:55:859,41.22493415,2.05786568,2200.01324519744
07:35:59:844,41.22042471,2.05785559,2350.01598095651
07:36:03:828,41.21594606,2.05788451,2525.01887233611
07:36:07:813,41.21132258,2.05782098,2725.02198403077
07:36:11:797,41.20672505,2.0577655,2925.02524742896
07:36:15:781,41.20215357,2.05770349,3125.02865374911
07:36:19:773,41.19746837,2.05760618,3300.03229985141
07:36:23:758,41.19279159,2.05752641,3450.03611750607
07:36:27:742,41.18811556,2.05749002,3575.0401233993
07:36:31:734,41.18314419,2.05729149,3675.04450305924
07:36:35:727,41.17806694,2.05668981,3775.04900808413
07:36:39:719,41.17316595,2.05500247,3925.05306775128
07:36:43:711,41.16841753,2.05227621,4075.05665498915
07:36:47:711,41.16365029,2.0493946,4275.06029592438
07:36:51:711,41.15897958,2.04643254,4500.06389061108
07:36:55:711,41.15436444,2.04324971,4725.06739093719
07:36:59:711,41.14970926,2.04000056,4975.07097432134
07:37:03:711,41.14512326,2.0367769,5225.07456153099
07:37:07:711,41.14054069,2.03353808,5450.07820297937
07:37:11:703,41.13590796,2.03022057,5650.08192349257
07:37:15:703,41.13126615,2.02698637,5875.08578208762
