Time,lat,lon,Hft
07:37:31:742,41.28949504,2.09552114,0.0002847592195495
07:37:35:805,41.28865798,2.09293131,0.0001712588604167
07:37:39:859,41.2875764,2.08987497,-2.65310832485557e-05
07:37:43:898,41.28636421,2.08642547,-0.0003442960336804
07:37:47:938,41.28512361,2.08280026,-0.0007893906283751
07:37:51:961,41.28381723,2.07889473,149.998608380509
07:37:55:977,41.28252764,2.07519064,324.997926368775
07:38:00:000,41.28120149,2.07147823,499.997132619717
07:38:04:000,41.27980796,2.0677765,699.996239260515
07:38:07:992,41.27761749,2.06471484,849.995596121291
07:38:11:984,41.2755002,2.06158564,1024.99486394097
07:38:15:961,41.27276515,2.05948118,1149.99461697764
07:38:19:938,41.26965424,2.05775394,1249.99463208341
07:38:23:906,41.26625548,2.05648565,1349.99496674161
07:38:27:875,41.26281065,2.05540228,1449.9954701501
07:38:31:852,41.25918762,2.05444657,1549.996168733
07:38:35:820,41.2554257,2.05343376,1649.99698370678
07:38:39:797,41.25156202,2.05240885,1699.99793075579
07:38:43:773,41.2476086,2.05138536,1799.99902342137
07:38:47:758,41.24354632,2.05039204,1950.00029239623
07:38:51:742,41.23948625,2.04950612,2125.00173315532
07:38:55:719,41.23538656,2.04864957,2325.00333062881
07:38:59:703,41.23130459,2.04782786,2500.00505963958
07:39:03:680,41.22713881,2.0469309,2675.00692168159
07:39:07:664,41.22297849,2.04607527,2825.00892923989
07:39:11:648,41.21885598,2.04520637,3000.01103493826
07:39:15:641,41.21463879,2.04425886,3175.01328752466
07:39:19:625,41.21043835,2.04331691,3350.01566217299
07:39:23:617,41.20612414,2.04227717,3450.018193512
07:39:27:609,41.20164138,2.04112245,3525.02092438278
07:39:31:594,41.19717455,2.03974782,3600.02365997434
07:39:35:586,41.19291428,2.03715534,3675.02563090971
07:39:39:586,41.18852619,2.03451813,3750.02776497931
07:39:43:586,41.18470796,2.03026096,3850.02839751713
07:39:47:586,41.18086256,2.02613703,3975.02909592569
07:39:51:594,41.17763047,2.02098194,4100.02838718157
07:39:55:594,41.17455702,2.01554058,4275.02712734649
07:39:59:602,41.17157249,2.00997924,4450.02547284207
07:40:03:602,41.16857078,2.00437831,4625.02358129038
07:40:07:602,41.16555437,1.99891433,4825.02161584686
07:40:11:609,41.16229487,1.99337151,5000.01962481049
07:40:15:617,41.15920099,1.98804276,5200.01747611825
07:40:19:617,41.15590759,1.98253481,5400.01516328345
07:40:23:617,41.1526619,1.97713567,5600.01272417011
07:40:27:617,41.14949548,1.97175954,5775.0100292549
07:40:31:617,41.1461664,1.96629079,5975.00722304829
