Time,lat,lon,Hft
07:39:07:641,41.28917095,2.09440494,0.0002395558514073
07:39:11:703,41.28817702,2.09164297,9.98116279393435e-05
07:39:15:750,41.28707236,2.08844374,-0.0001461974824592
07:39:19:789,41.28585447,2.08495076,-0.0005114513302594
07:39:23:828,41.28458366,2.08117373,-0.0010270612237229
07:39:27:852,41.28320108,2.07728683,74.9983292225974
07:39:31:867,41.28177421,2.07329939,249.997542461514
07:39:35:875,41.28030739,2.06930781,449.996629253653
07:39:39:883,41.27882864,2.06558811,624.995678233906
07:39:43:875,41.27655005,2.0624036,824.994962079608
07:39:47:859,41.27415097,2.05980943,1024.99445026018
07:39:51:836,41.27140194,2.0576206,1174.99416618432
07:39:55:813,41.26823496,2.05573027,1274.99412811793
07:39:59:773,41.26447398,2.05505858,1349.99483942114
07:40:03:750,41.26132152,2.05382128,1399.99521589144
07:40:07:719,41.25764534,2.0534771,1474.9962376508
07:40:11:688,41.25367915,2.05337388,1524.99757758778
07:40:15:664,41.2496303,2.05334252,1574.99910522843
07:40:19:633,41.24543459,2.05321021,1675.00077915482
07:40:23:609,41.24114491,2.05316489,1825.00267476801
07:40:27:578,41.23691598,2.05336889,2025.00479873211
07:40:31:555,41.23272847,2.0536806,2250.00708938688
07:40:35:531,41.22853982,2.05397393,2450.00950766481
07:40:39:508,41.22425375,2.05426859,2600.0121190642
07:40:43:492,41.21995986,2.05455167,2775.01487385899
07:40:47:477,41.21570043,2.05485252,2925.01775635942
07:40:51:461,41.21142902,2.05511451,3100.02077215981
07:40:55:445,41.20707632,2.05531586,3300.02396380827
07:40:59:430,41.20280264,2.0555695,3475.02726516537
07:41:03:414,41.1984999,2.05577221,3650.03071030915
07:41:07:398,41.19409626,2.05594714,3850.03437294774
07:41:11:383,41.1897081,2.0561171,4025.03817121189
07:41:15:367,41.18540236,2.05630637,4200.04205461812
07:41:19:359,41.18104204,2.05650894,4375.04613997591
07:41:23:352,41.17664401,2.05667308,4575.05039550767
07:41:27:336,41.17226249,2.0568227,4775.05478035211
07:41:31:328,41.1677977,2.05673082,4950.05929989934
07:41:35:320,41.16348402,2.05655988,5100.06378013137
07:41:39:305,41.15884507,2.05628523,5200.06872090707
07:41:43:297,41.15432926,2.05606874,5275.07371402706
07:41:47:289,41.14956181,2.05578764,5350.07913677767
07:41:51:281,41.14472376,2.0555588,5425.08484706495
07:41:55:266,41.13991952,2.05556345,5500.09080088944
07:41:59:266,41.13496526,2.0561344,5575.09737583093
07:42:03:250,41.12997095,2.05844806,5675.10491968386
07:42:07:234,41.12519412,2.06102818,5825.11241625837
07:42:11:219,41.12079062,2.06361454,5975.11950740199
