Time,lat,lon,Hft
07:40:27:359,41.29101668,2.09980963,0.0003371063942834
07:40:31:422,41.29046735,2.09801272,0.0003268092906847
07:40:35:492,41.28970984,2.09595256,0.000291695250757
07:40:39:547,41.28881161,2.09345226,0.0002000296400859
07:40:43:609,41.28786056,2.09070142,3.5462369248271e-05
07:40:47:648,41.28683533,2.08757792,-0.0002341873021423
07:40:51:688,41.28562654,2.08411865,-0.0006207931261882
07:40:55:711,41.28438954,2.08045114,-0.0011456062469631
07:40:59:734,41.28317717,2.07672772,49.9982012820287
07:41:03:750,41.28190796,2.07302849,199.997448467956
07:41:07:758,41.28068395,2.06945017,399.996612075877
07:41:11:766,41.27946382,2.06590568,574.995678005102
07:41:15:773,41.27802534,2.06248993,699.994722530766
07:41:19:766,41.27621672,2.05934483,824.993852015174
07:41:23:750,41.27390086,2.05695373,999.993339853705
07:41:27:734,41.27150589,2.05511197,1149.99307459985
07:41:31:711,41.26878583,2.05366551,1249.99307944213
07:41:35:680,41.26586182,2.05301077,1349.99354160414
07:41:39:648,41.26292497,2.0528625,1449.99430316437
07:41:43:617,41.25984881,2.0529347,1549.99527667994
07:41:47:586,41.25679059,2.05314498,1649.99638063261
07:41:51:563,41.25362318,2.05314245,1749.99750003095
07:41:55:539,41.25051338,2.05303291,1849.99862628281
07:41:59:523,41.24739723,2.05275039,1949.99975104663
07:42:03:500,41.2442121,2.05224478,2075.00087845941
07:42:07:484,41.24115528,2.05169617,2175.0020022088
07:42:11:469,41.23799641,2.05094597,2300.00315064356
07:42:15:453,41.23485563,2.05020432,2425.00436653505
07:42:19:438,41.23173583,2.04944297,2525.00563255558
07:42:23:422,41.22857084,2.04866548,2650.00698723796
07:42:27:406,41.2254253,2.04786009,2750.00838824527
07:42:31:398,41.2222759,2.04709541,2850.00988370482
07:42:35:383,41.21902569,2.04625923,2975.01147886583
07:42:39:375,41.21583168,2.04547797,3075.01314115985
07:42:43:367,41.21259281,2.04464742,3175.01488195324
07:42:47:352,41.20929783,2.04379506,3275.01672645711
07:42:51:344,41.20592834,2.04293436,3325.01869792431
07:42:55:328,41.2025507,2.04211945,3375.02078323104
07:42:59:320,41.19898197,2.04123825,3400.02306459847
07:43:03:313,41.19531764,2.04023862,3425.02544882999
07:43:07:305,41.19160417,2.03875847,3450.02768835207
07:43:11:297,41.18804825,2.03635818,3450.02931681303
07:43:15:305,41.18476731,2.0329327,3450.03008619
07:43:19:305,41.18195598,2.02885447,3525.02995388848
07:43:23:313,41.17933911,2.02430181,3600.02920139884
07:43:27:313,41.17672294,2.01963855,3675.02822364706
07:43:31:313,41.17416819,2.01492819,3800.02699942443
07:43:35:320,41.17149114,2.0102171,3900.02574116349
07:43:39:320,41.16877315,2.00549089,4000.02436055645
07:43:43:320,41.16597688,2.0006423,4075.02279525255
07:43:47:328,41.16308669,1.99570647,4125.02108549606
07:43:51:328,41.1601363,1.99061816,4175.01912159055
07:43:55:328,41.15713621,1.98553374,4250.01704511337
07:43:59:328,41.15407307,1.98030061,4325.0147014065
07:44:03:336,41.15097923,1.97502475,4425.01216183754
07:44:07:336,41.1478921,1.96977438,4525.00946109904
07:44:11:336,41.14463206,1.96429055,4650.0064895496
07:44:15:336,41.14163371,1.9589569,4800.00319675479
07:44:19:336,41.13866228,1.95330126,4949.99922854026
07:44:23:344,41.13608537,1.94739495,5099.99416158811
07:44:27:344,41.1336838,1.94123151,5274.98820737683
07:44:31:344,41.13156649,1.93490116,5424.98130669691
07:44:35:344,41.1297595,1.92838668,5574.9733538394
07:44:39:352,41.12814835,1.92177169,5749.96459783818
07:44:43:352,41.12665557,1.91504561,5924.95509869163
