Time,lat,lon,Hft
07:42:07:336,41.29021025,2.09710941,0.0003096128221228
07:42:11:406,41.2893647,2.0946646,0.0002405916728079
07:42:15:469,41.28833147,2.09180421,0.0001004380096122
07:42:19:516,41.2871146,2.08851297,-0.000141892254278
07:42:23:555,41.28598112,2.08502096,-0.0005147849029675
07:42:27:586,41.28461746,2.08124945,124.9989874241
07:42:31:602,41.28338497,2.07765973,274.998396189
07:42:35:625,41.28205595,2.07390748,399.997667373164
07:42:39:641,41.28076793,2.07016542,549.99681863103
07:42:43:641,41.27936436,2.06648079,724.995891224345
07:42:47:641,41.27755417,2.06302109,899.995006842442
07:42:51:633,41.2754635,2.06008045,1074.99429498744
07:42:55:617,41.27299258,2.05721256,1224.99364709994
07:42:59:602,41.27027238,2.05496081,1324.99329878823
07:43:03:578,41.26724165,2.05311454,1424.99322632585
07:43:07:547,41.26384747,2.05215874,1524.99371412979
07:43:11:516,41.26039479,2.05166186,1599.99451674722
07:43:15:484,41.25677512,2.05145752,1699.99560556285
07:43:19:453,41.25304338,2.05134727,1799.99688177965
07:43:23:430,41.24924047,2.05140649,1899.99837476423
07:43:27:398,41.24528803,2.05148906,2000.00005558387
07:43:31:367,41.24128339,2.05169816,2075.00194078745
07:43:35:344,41.23718115,2.05197898,2150.00403223865
07:43:39:320,41.23298848,2.05232565,2250.00633313948
07:43:43:297,41.22859184,2.0526472,2375.00887353793
07:43:47:273,41.22416622,2.05302054,2475.0116041152
07:43:51:258,41.21959432,2.05337215,2575.01456883088
07:43:55:234,41.21500313,2.0537351,2675.01771387421
07:43:59:219,41.21018243,2.05408718,2775.02117928274
07:44:03:195,41.2052739,2.05441742,2875.02488109382
07:44:07:180,41.20039118,2.05484251,3025.02879395544
07:44:11:164,41.19536282,2.05517365,3175.03297056958
07:44:15:148,41.19036669,2.05552709,3350.03732738285
07:44:19:133,41.18526184,2.05588332,3525.04197810052
07:44:23:125,41.18019641,2.05620422,3725.04678113569
07:44:27:109,41.17510268,2.05647032,3950.05179028998
07:44:31:102,41.16992381,2.05655102,4150.05701056563
07:44:35:086,41.16482916,2.0566201,4350.06234776993
07:44:39:070,41.15979255,2.05717686,4550.06803090497
07:44:43:055,41.15484178,2.05850991,4750.07413156158
07:44:47:039,41.14996673,2.06081985,4950.08070021392
07:44:51:023,41.14541951,2.0639756,5150.08731238603
07:44:55:000,41.14106708,2.06768721,5350.09393159195
07:44:58:984,41.13717695,2.07211114,5550.10018147407
07:45:02:961,41.13372401,2.07709427,5750.10592840532
07:45:06:938,41.13078914,2.08264072,5925.11095092786
