Time,lat,lon,Hft
07:44:11:234,41.28939268,2.09498572,0.0002597589519992
07:44:15:297,41.2884239,2.09209872,0.0001193333474919
07:44:19:352,41.28725092,2.08884846,-0.0001143772934749
07:44:23:398,41.28603877,2.08532591,49.9995281906315
07:44:27:430,41.28484974,2.08180392,199.999067087088
07:44:31:453,41.28372474,2.07819788,374.998475179593
07:44:35:469,41.28259017,2.07480858,549.997828544674
07:44:39:469,41.28101776,2.07163058,749.997211749786
07:44:43:461,41.27901257,2.0691885,949.996819712865
07:44:47:438,41.27662375,2.06720752,1124.99662403608
07:44:51:414,41.27403445,2.06586654,1274.99669406448
07:44:55:383,41.27131803,2.06501991,1424.99699984154
07:44:59:359,41.26843252,2.06437006,1524.99746600629
07:45:03:328,41.26545478,2.0638617,1649.99806927816
07:45:07:297,41.26244135,2.06352305,1749.99880984697
07:45:11:273,41.25919876,2.06313852,1849.99967684709
07:45:15:242,41.25601426,2.06293745,1975.00067189779
07:45:19:219,41.25253249,2.06265746,2075.00182647738
07:45:23:195,41.24907218,2.06247327,2200.00310226317
07:45:27:172,41.24550633,2.06228587,2300.00451417258
07:45:31:156,41.24177586,2.06206935,2400.00608919483
07:45:35:141,41.23801619,2.06186522,2525.00779194681
07:45:39:117,41.23414547,2.06164775,2625.0096561099
07:45:43:102,41.23016856,2.06141659,2725.01168974436
07:45:47:086,41.22608133,2.06117732,2825.01390724476
07:45:51:070,41.22189731,2.06090128,2950.01630071851
07:45:55:055,41.21767052,2.06063387,3100.01886209904
07:45:59:039,41.21333591,2.06032625,3250.02162018785
07:46:03:023,41.20891023,2.05995863,3450.02456757496
07:46:07:008,41.20456302,2.05961492,3650.02761782311
07:46:11:000,41.20016678,2.0592454,3850.03084317701
07:46:14:992,41.19572959,2.05883908,4075.03423827712
07:46:18:984,41.19128997,2.05845688,4275.03779741301
07:46:22:969,41.18686587,2.05807986,4500.04149911014
07:46:26:961,41.18239882,2.05762512,4725.04536071487
07:46:30:953,41.17812705,2.05627578,4950.04881228099
07:46:34:945,41.17395848,2.05444407,5175.05207520234
07:46:38:945,41.16969681,2.0523792,5375.05543011642
07:46:42:945,41.16564109,2.049656,5550.05835042569
07:46:46:945,41.16156288,2.04702155,5700.06140026475
07:46:50:945,41.15731558,2.04431376,5900.06466773901
