Time,lat,lon,Hft
07:45:55:086,41.28962134,2.09556956,0.0002768026445433
07:45:59:148,41.28872691,2.09312034,0.0001807523621618
07:46:03:195,41.28771324,2.0902196,-1.83025669306517e-06
07:46:07:234,41.28659924,2.08700045,-0.0002880286263301
07:46:11:273,41.28533647,2.08338563,-0.0007115329141914
07:46:15:305,41.2839121,2.07961771,24.9987454795503
07:46:19:328,41.28266881,2.0758272,224.998060711557
07:46:23:336,41.28131013,2.07202409,424.997267882031
07:46:27:352,41.28003227,2.06840901,624.996400781971
07:46:31:352,41.27862788,2.06474246,824.99542832757
07:46:35:352,41.27701332,2.06164136,1024.9945985843
07:46:39:336,41.27474883,2.05887566,1174.99396218861
07:46:43:320,41.27221606,2.05675057,1324.99362534086
07:46:47:297,41.26943165,2.05529893,1474.99365220086
07:46:51:266,41.26648722,2.05447848,1624.99404341028
07:46:55:242,41.26340366,2.05384711,1799.99462167236
07:46:59:211,41.26037329,2.05336835,1924.99532117784
07:47:03:188,41.25733268,2.05287713,2024.99608688136
07:47:07:164,41.2542233,2.05232918,2124.99692075659
07:47:11:141,41.25114798,2.05179162,2174.99781723979
07:47:15:117,41.24809676,2.05131112,2249.99880260179
07:47:19:102,41.24490598,2.05072188,2324.99986672899
07:47:23:078,41.24174667,2.05015951,2425.00100633653
07:47:27:070,41.23860279,2.04961752,2500.00222251254
07:47:31:055,41.23542847,2.0490379,2575.00350989134
07:47:35:039,41.23223945,2.04839335,2675.00484891436
07:47:39:023,41.22906669,2.04775988,2775.00626000183
07:47:43:008,41.22591221,2.04711051,2850.0077263944
07:47:46:992,41.22266146,2.04637235,2925.00927890986
07:47:50:977,41.21942292,2.04563907,3000.01090378616
07:47:54:969,41.21626152,2.04492878,3075.01256722312
07:47:58:961,41.21299565,2.04411933,3125.01432106395
07:48:02:945,41.20966892,2.04330383,3175.01619203204
07:48:06:938,41.20626482,2.04252772,3225.01822215607
07:48:10:922,41.20281823,2.04169409,3275.02033744356
07:48:14:914,41.19924841,2.04080738,3300.02260553781
07:48:18:906,41.19564769,2.03984097,3350.02494608132
07:48:22:898,41.19205859,2.03842923,3400.02710657829
07:48:26:891,41.1886119,2.03638042,3450.02883690995
07:48:30:891,41.18559075,2.03328216,3500.02957107474
07:48:34:898,41.18277021,2.02962828,3550.02972897756
07:48:38:898,41.18026108,2.02556893,3625.02924438372
07:48:42:898,41.17789071,2.02136668,3650.02841348672
07:48:46:906,41.17535639,2.01691267,3700.02742327166
07:48:50:906,41.17284116,2.01246553,3725.02628424682
07:48:54:906,41.17024048,2.00794024,3775.02502950925
07:48:58:906,41.1675376,2.00337253,3850.02370465647
07:49:02:914,41.16493101,1.9988064,3925.02214192838
07:49:06:914,41.16213269,1.9940504,4025.02045485265
07:49:10:922,41.15945908,1.98940038,4125.01859203867
07:49:14:922,41.15665047,1.98458708,4225.01655649001
07:49:18:922,41.15391117,1.97982922,4325.01435043721
07:49:22:922,41.15108539,1.974954,4400.01195312734
07:49:26:922,41.14831469,1.97000128,4475.0092356845
07:49:30:922,41.14586337,1.96474981,4525.0055799282
07:49:34:922,41.14377961,1.95913072,4550.00077255562
07:49:38:930,41.1427644,1.95220192,4624.99256057524
07:49:42:938,41.14196657,1.94577335,4724.98437022471
07:49:46:945,41.14152783,1.9396955,4799.97588333916
07:49:50:953,41.14215488,1.93294176,4874.96466524619
07:49:54:961,41.14323436,1.92621441,4974.95251213325
07:49:58:969,41.14451549,1.91952775,5099.93977053303
07:50:02:977,41.14583214,1.91298235,5199.92683079777
07:50:06:984,41.14744472,1.90647345,5324.91321889368
07:50:10:992,41.14932102,1.90005133,5449.89908491727
07:50:15:000,41.15132328,1.89354298,5574.88428033053
07:50:19:016,41.15346876,1.88729736,5724.86947608889
07:50:23:023,41.15570707,1.8810118,5874.85415797594
