Time,lat,lon,Hft
07:50:26:750,41.28949238,2.09511066,0.0002592272914573
07:50:30:805,41.28857348,2.0926078,0.0001511902027204
07:50:34:852,41.2875585,2.08975853,-3.79831735417247e-05
07:50:38:891,41.28649395,2.08662431,-0.0003298770331218
07:50:42:930,41.28530851,2.08317088,-0.0007457486311346
07:50:46:945,41.28409933,2.07961543,24.9987208062234
07:50:50:969,41.28280618,2.07589124,149.998054827164
07:50:54:992,41.28158578,2.07237603,274.997319826955
07:50:59:000,41.28027139,2.06877853,374.996469872139
07:51:03:008,41.27896671,2.06520592,524.995521281711
07:51:07:008,41.27761976,2.06158178,624.994453569126
07:51:11:008,41.27604367,2.05820293,749.993422360663
07:51:15:000,41.27402244,2.0552692,874.99259006963
07:51:18:984,41.27164209,2.05259244,974.991907422887
07:51:22:961,41.26896169,2.05070452,1099.99165627349
07:51:26:938,41.26605557,2.04934627,1199.99174852504
07:51:30:906,41.26286925,2.04876082,1274.99235652722
07:51:34:875,41.25964673,2.04861787,1374.99327367455
07:51:38:852,41.25624989,2.0484981,1449.99434211309
07:51:42:820,41.25288421,2.04863198,1524.99561516455
07:51:46:789,41.24943255,2.04881383,1624.99703499692
07:51:50:766,41.24586896,2.04906839,1699.99863001468
07:51:54:734,41.24224764,2.04945831,1775.00041599634
07:51:58:711,41.23844155,2.04977007,1850.00235396875
07:52:02:688,41.23457577,2.05005235,1925.0044204258
07:52:06:664,41.23074637,2.05042524,2025.00662745188
07:52:10:641,41.22663947,2.05071378,2100.00906601324
07:52:14:617,41.22260091,2.05117213,2175.01167476099
07:52:18:602,41.2182821,2.05154779,2225.0145487128
07:52:22:578,41.2139862,2.05204041,2325.01760803044
07:52:26:563,41.20952895,2.05254247,2450.02092908684
07:52:30:547,41.20502116,2.05315078,2600.02449037113
07:52:34:531,41.20042785,2.05372431,2750.02825859358
07:52:38:508,41.19592383,2.05436978,2900.03214836464
07:52:42:492,41.1912721,2.05494281,3075.03628835513
07:52:46:477,41.18663582,2.05556179,3225.04060065577
07:52:50:461,41.18190109,2.05611639,3350.04514113062
07:52:54:453,41.17711547,2.05671019,3475.0499206816
07:52:58:438,41.1722831,2.05731806,3600.05492990077
07:53:02:430,41.16729383,2.05780249,3725.06023199157
07:53:06:414,41.16229915,2.058419,3850.06578775778
07:53:10:398,41.15742913,2.05962428,4000.07163260354
07:53:14:383,41.1526914,2.06185709,4150.07788828234
07:53:18:367,41.14801143,2.0649902,4325.08452176077
07:53:22:344,41.14378269,2.06876056,4500.09088229874
07:53:26:320,41.13996078,2.07322193,4700.09692857015
07:53:30:305,41.13650089,2.07839369,4900.10259850229
07:53:34:281,41.13364973,2.08399078,5100.10738912594
07:53:38:258,41.13123829,2.0898836,5325.11140277947
07:53:42:234,41.12926563,2.09610052,5525.11456668381
07:53:46:211,41.12781779,2.10256239,5725.11668858237
07:53:50:188,41.12664275,2.109167,5925.11805606074
