Time,lat,lon,Hft
07:51:50:586,41.29016479,2.09702148,0.0003092247710376
07:51:54:656,41.28927,2.09452873,0.0002395008520409
07:51:58:711,41.28821557,2.0915619,8.81853729858994e-05
07:52:02:766,41.28697521,2.08818468,-0.0001690527747198
07:52:06:805,41.28584644,2.08457023,-0.0005718039683252
07:52:10:836,41.28453152,2.08074971,124.998900179827
07:52:14:852,41.28322741,2.0770276,274.99827196682
07:52:18:867,41.2819026,2.0731718,424.997495078302
07:52:22:883,41.28052548,2.06932055,599.996603696202
07:52:26:891,41.27900629,2.06565552,774.995675944244
07:52:30:883,41.27699496,2.06240815,949.994885345427
07:52:34:875,41.27470352,2.05924826,1149.99411965503
07:52:38:859,41.27215053,2.05680535,1274.99366130775
07:52:42:836,41.26921657,2.05470405,1374.99344062207
07:52:46:805,41.26595772,2.05317382,1474.99359410014
07:52:50:773,41.26260592,2.05246639,1549.99421796047
07:52:54:742,41.25899584,2.05216047,1649.99519583015
07:52:58:711,41.25530931,2.05215205,1724.99643895585
07:53:02:688,41.25148058,2.05217823,1824.99785893183
07:53:06:656,41.24765304,2.05239332,1899.99947932568
07:53:10:633,41.24367896,2.05264806,2000.00129725263
07:53:14:602,41.23957346,2.05288032,2075.00328891664
07:53:18:578,41.23530829,2.0531554,2150.00551206077
07:53:22:555,41.23096356,2.05347073,2250.0079386046
07:53:26:531,41.22654547,2.05379733,2375.01055977878
07:53:30:508,41.22211223,2.05415813,2525.01335783686
07:53:34:484,41.21753937,2.0544633,2675.01637394298
07:53:38:469,41.21306172,2.05484769,2825.01952274424
07:53:42:453,41.20832742,2.05508052,3000.02294595549
07:53:46:438,41.20368328,2.05537464,3175.02650282437
07:53:50:422,41.19907068,2.05569868,3375.03021676514
07:53:54:406,41.19441587,2.05601051,3550.03412554136
07:53:58:391,41.18966544,2.05628501,3750.03827109577
07:54:02:375,41.18500222,2.05657953,3950.04252304035
07:54:06:359,41.18020382,2.05696744,4150.04711136106
07:54:10:344,41.17565231,2.05791226,4350.05186902787
07:54:14:328,41.17113285,2.06027686,4550.05731161706
07:54:18:313,41.16699225,2.0623438,4750.06235727583
07:54:22:289,41.16293725,2.0658889,4950.06791497565
07:54:26:266,41.15943698,2.06990214,5150.07301345826
07:54:30:242,41.15615544,2.07449433,5325.077960925
07:54:34:219,41.15332552,2.07956363,5475.08237631584
07:54:38:195,41.15073099,2.08491441,5650.08638541089
07:54:42:172,41.14811468,2.09035544,5800.09021572152
07:54:46:148,41.14555723,2.09585792,5975.09375697058
