Time,lat,lon,Hft
07:53:34:508,41.28934973,2.0949041,0.0002581242486089
07:53:38:563,41.28851946,2.09238989,0.0001368812008947
07:53:42:617,41.28744665,2.08937159,-7.15541756898165e-05
07:53:46:656,41.28628777,2.08614152,-0.0003774881513044
07:53:50:688,41.28517942,2.08272119,-0.0008103087207302
07:53:54:711,41.28390072,2.07902689,99.9986243154071
07:53:58:727,41.28266357,2.07548388,224.997977054465
07:54:02:742,41.28128393,2.07181966,374.997212864691
07:54:06:750,41.27998489,2.06832531,499.99637811702
07:54:10:750,41.27828994,2.06494669,649.995551667963
07:54:14:742,41.27617466,2.06213326,799.994931863747
07:54:18:727,41.27380113,2.05972549,949.994487198903
07:54:22:703,41.27116883,2.05786904,1099.99431939476
07:54:26:680,41.26833442,2.05643639,1274.99440542168
07:54:30:648,41.26539864,2.05569189,1424.99486088868
07:54:34:625,41.262438,2.05534962,1574.99556122204
07:54:38:594,41.25931305,2.05524824,1699.99648568716
07:54:42:563,41.25622552,2.05537696,1824.99757337817
07:54:46:539,41.25312755,2.05550947,1899.99873899448
07:54:50:516,41.24983252,2.05555598,1975.00001956864
07:54:54:492,41.24649825,2.05566611,2050.00142870075
07:54:58:469,41.24311337,2.0558452,2100.00297587229
07:55:02:445,41.23954033,2.05591654,2175.00465582129
07:55:06:422,41.23579066,2.05600609,2250.00653203552
07:55:10:398,41.23201643,2.05610185,2325.00853367887
07:55:14:383,41.22814345,2.05617792,2375.0106928803
07:55:18:359,41.22410964,2.05623129,2450.0130559856
07:55:22:344,41.22002458,2.05635692,2550.01560999046
07:55:26:328,41.21584848,2.0564346,2650.01833405641
07:55:30:313,41.21157894,2.05649787,2800.02125479363
07:55:34:297,41.20725993,2.05656871,2925.02435661644
07:55:38:281,41.20297157,2.05664107,3075.02758269181
07:55:42:266,41.19870994,2.05671855,3250.03093462694
07:55:46:258,41.19435407,2.05669985,3425.03446640388
07:55:50:242,41.18995032,2.05666418,3600.03818124928
07:55:54:227,41.18568107,2.05670292,3775.04195924311
07:55:58:219,41.18136117,2.05703975,3950.04605312885
07:56:02:203,41.17721314,2.05797517,4150.05037558873
07:56:06:188,41.17296276,2.06062533,4325.05560269976
07:56:10:164,41.16930012,2.06297534,4500.06019364228
07:56:14:141,41.1658474,2.06645571,4675.06499895705
07:56:18:125,41.16261778,2.0702999,4825.06965222015
07:56:22:102,41.15962514,2.07455142,4975.07409395873
07:56:26:078,41.1567114,2.07894952,5125.07838078855
07:56:30:055,41.15374153,2.08339694,5225.08262572143
07:56:34:039,41.15073543,2.08786259,5350.08680152298
07:56:38:016,41.14768823,2.09238578,5500.09091790059
07:56:42:000,41.14465109,2.09693099,5625.0949047946
07:56:45:984,41.14156856,2.10153346,5775.09882949025
07:56:49:961,41.13843114,2.10611274,5925.10270226345
