Time,lat,lon,Hft
07:54:58:375,41.28960758,2.09582936,0.0002933605093508
07:55:02:438,41.28879909,2.09330325,0.0001891428210586
07:55:06:492,41.28778001,2.09039617,1.07890423759818e-05
07:55:10:531,41.28665329,2.08718722,-0.0002679019137471
07:55:14:570,41.28538566,2.08357036,-0.000685423492752
07:55:18:586,41.28389481,2.08000846,-0.0011721556633338
07:55:22:625,41.28286051,2.07547819,24.9979419082519
07:55:26:641,41.28137442,2.07147684,199.99709663701
07:55:30:648,41.28000364,2.06751212,374.996112657365
07:55:34:656,41.27852734,2.06348052,574.994991732174
07:55:38:664,41.27706085,2.05946812,774.993742139021
07:55:42:664,41.27548482,2.05568842,974.992481325997
07:55:46:656,41.27338522,2.05230469,1149.99139970414
07:55:50:641,41.27076747,2.04954489,1324.99067153878
07:55:54:617,41.26785164,2.04766723,1474.99045062052
07:55:58:586,41.26470438,2.04644815,1599.99066942238
07:56:02:555,41.26130733,2.04634901,1724.99161415171
07:56:06:523,41.25789703,2.04695856,1849.99301889879
07:56:10:484,41.25457068,2.04809246,1999.99474626282
07:56:14:445,41.25109203,2.04930412,2074.99664217905
07:56:18:414,41.24749756,2.05043334,2149.99862685203
07:56:22:383,41.24383801,2.05134026,2200.00062349062
07:56:26:359,41.24003224,2.05201762,2300.00268053953
07:56:30:336,41.23610833,2.05247965,2375.00480548535
07:56:34:305,41.23219195,2.05291747,2425.00703273322
07:56:38:281,41.22803625,2.05319875,2475.00944172955
07:56:42:273,41.22374399,2.0534357,2550.01204727817
07:56:46:250,41.2193671,2.05367085,2650.01484981905
07:56:50:227,41.21496368,2.05393128,2775.01783153852
07:56:54:211,41.21046727,2.05421133,2950.02104001697
07:56:58:195,41.20594235,2.05450321,3150.02443319533
07:57:02:180,41.2013892,2.05477134,3350.02799742172
07:57:06:164,41.19698473,2.05511657,3550.03163715002
07:57:10:148,41.19240045,2.05541257,3700.03555660546
07:57:14:133,41.18774692,2.0557627,3800.03972299313
07:57:18:117,41.18303794,2.0561336,3875.04411735642
07:57:22:109,41.17808158,2.05649388,3950.0489166342
07:57:26:094,41.17311025,2.05675649,4075.05388327775
07:57:30:086,41.16796722,2.05666281,4250.05907299837
07:57:34:070,41.16294512,2.05634445,4425.06424535142
07:57:38:063,41.15786946,2.05599034,4600.06965999806
07:57:42:055,41.15272663,2.05570514,4800.07538497539
07:57:46:047,41.1475248,2.05541105,5000.08138475706
07:57:50:031,41.14251886,2.05521917,5225.08740060448
07:57:54:023,41.13732195,2.05496613,5425.09383048119
07:57:58:023,41.13206437,2.05470742,5625.10055099288
07:58:02:016,41.1269283,2.05455705,5825.10737248953
