Time,lat,lon,Hft
06:01:29:820,41.3286899,2.5960539,4848.86811161126
06:01:33:813,41.32996903,2.5896088,4773.89783811546
06:01:37:805,41.33124026,2.58315444,4698.92722912352
06:01:41:797,41.33252553,2.57651793,4598.95705088069
06:01:45:789,41.33387122,2.56994629,4523.98620941254
06:01:49:773,41.33527426,2.56344175,4449.01470716062
06:01:53:766,41.33655375,2.55685336,4374.04314406717
06:01:57:758,41.33756334,2.55037764,4299.07063808598
06:02:01:750,41.33865077,2.54379407,4224.09821609187
06:02:05:750,41.33993402,2.53743045,4149.12457042603
06:02:09:734,41.34127377,2.53086946,4074.151365519
06:02:13:727,41.34254246,2.52447598,4024.17709198327
06:02:17:719,41.34368751,2.51799903,3999.20273085169
06:02:21:711,41.34494539,2.51166183,3974.2274962538
06:02:25:703,41.34621496,2.5053971,3924.25163102418
06:02:29:688,41.34751281,2.49910635,3899.27551966916
06:02:33:680,41.34876077,2.49289566,3874.29874232375
06:02:37:672,41.34997717,2.48667405,3849.32164407538
06:02:41:664,41.35115572,2.4806186,3824.34359647683
06:02:45:656,41.35235653,2.47453983,3799.36530764496
06:02:49:648,41.35349389,2.46863376,3774.38607052317
06:02:53:633,41.35482089,2.46257156,3749.40712241083
06:02:57:625,41.35590143,2.45673287,3699.42700036164
06:03:01:617,41.35698615,2.45095883,3674.44636255876
06:03:05:602,41.35807506,2.44525599,3624.46519703409
06:03:09:594,41.35928341,2.43940408,3599.4842608841
06:03:13:586,41.36027662,2.43386174,3574.50196168175
06:03:17:578,41.36145569,2.42815366,3524.51997397461
06:03:21:563,41.36253523,2.42253894,3499.53736785135
06:03:25:555,41.36361788,2.41690257,3449.55454109526
06:03:29:539,41.36471061,2.41141248,3424.57101261736
06:03:33:531,41.36582009,2.40598331,3374.5870481016
06:03:37:516,41.36683849,2.40055781,3349.60276210825
06:03:41:508,41.36791377,2.3951729,3324.61812906584
06:03:45:500,41.36891846,2.38978775,3299.6331979666
06:03:49:492,41.36995523,2.38445446,3249.64788484804
06:03:53:477,41.37095894,2.37910074,3224.66235046991
06:03:57:469,41.37198713,2.37370368,3199.67667993168
06:04:01:453,41.37295807,2.36830306,3149.69072215027
06:04:05:438,41.37389149,2.36297417,3124.7043055823
06:04:09:430,41.37491866,2.35765502,3099.71766210222
06:04:13:414,41.37590105,2.35232359,3049.73076492858
06:04:17:398,41.37689465,2.34703463,3024.74352127097
06:04:21:383,41.3778657,2.34162541,2974.75627835909
06:04:25:375,41.37873,2.33623254,2924.76867022086
06:04:29:367,41.37888412,2.33037184,2849.78135871884
06:04:33:359,41.3782468,2.32496328,2799.79231585492
06:04:37:352,41.37744555,2.31945529,2749.80310797762
06:04:41:344,41.37647495,2.31414082,2699.81314258793
06:04:45:336,41.37505199,2.30901106,2649.82230613356
06:04:49:328,41.37346689,2.30398293,2599.83095893368
06:04:53:320,41.37181671,2.29880399,2549.83963650491
06:04:57:320,41.37021252,2.29378315,2524.84782990431
06:05:01:313,41.36866951,2.28891498,2499.85557611609
06:05:05:305,41.36711724,2.28405237,2474.86310645535
06:05:09:297,41.36555289,2.27910099,2449.87057591337
06:05:13:289,41.36411173,2.27435361,2449.87757109334
06:05:17:281,41.36259831,2.26965695,2424.88425858259
06:05:21:281,41.36109222,2.26505148,2399.89062409944
06:05:25:273,41.35947006,2.26062263,2349.89649628132
06:05:29:266,41.3577738,2.25614571,2299.90224275603
06:05:33:258,41.35615645,2.25162236,2224.90792284058
06:05:37:250,41.35463437,2.24722494,2174.91330362451
06:05:41:250,41.35308986,2.24275052,2099.91861351138
06:05:45:242,41.35155908,2.23826702,2024.92377271526
06:05:49:234,41.35006908,2.23385314,1949.92869348466
06:05:53:234,41.34856004,2.22944684,1899.93343515457
06:05:57:227,41.34710049,2.22510909,1824.93795249445
06:06:01:219,41.34564006,2.22077164,1749.94231079756
06:06:05:211,41.34421845,2.21659694,1699.94635134165
06:06:09:211,41.3427957,2.21242273,1649.95024464327
06:06:13:203,41.34142993,2.20840392,1599.9538559662
06:06:17:195,41.34006311,2.20439026,1524.95732554982
06:06:21:195,41.3387283,2.20044694,1474.96060569406
06:06:25:188,41.33739577,2.19650162,1424.96375744839
06:06:29:180,41.33608869,2.19264044,1349.96671352432
06:06:33:172,41.33480375,2.18885622,1299.96948872243
06:06:37:164,41.3334935,2.18499134,1249.97219937267
06:06:41:156,41.33221157,2.18120838,1174.97473022711
06:06:45:148,41.33088733,2.17735181,1124.97718321754
06:06:49:141,41.3296339,2.17364035,1074.97943074868
06:06:53:133,41.3284189,2.17000311,999.981522876227
06:06:57:125,41.32718032,2.16637243,974.983496232284
06:07:01:117,41.3259942,2.16290415,924.985276497968
06:07:05:109,41.32483152,2.15951614,874.986917260815
06:07:09:102,41.32365893,2.15613399,824.988457014269
06:07:13:094,41.32250362,2.1527371,774.989910861769
06:07:17:086,41.32137461,2.1494219,699.991235137052
06:07:21:078,41.32016365,2.1459627,649.992514401285
06:07:25:063,41.31906877,2.14271058,599.993631994881
06:07:29:055,41.31793547,2.13938377,549.99468131593
06:07:33:039,41.31675557,2.13598804,499.9956536012
06:07:37:031,41.31561102,2.13265399,474.99651669727
06:07:41:016,41.31453761,2.12945954,424.997257792703
06:07:45:000,41.31334409,2.12605053,349.997948383619
06:07:48:977,41.31229414,2.12290799,299.998504073133
06:07:52:945,41.31120134,2.11967222,249.998988242081
06:07:56:914,41.31000055,2.11639993,199.999381295412
06:08:00:867,41.30899182,2.11329352,174.999681598244
06:08:04:805,41.30795149,2.11008667,124.999904963252
06:08:08:695,41.30685835,2.10691868,50.000035920338
06:08:12:516,41.3057913,2.10389106,25.0000830366415
06:08:16:219,41.30477665,2.10093327,5.60474098846316e-05
06:08:19:844,41.30380726,2.09800404,-4.14420225843787e-05
06:08:23:578,41.30281947,2.0950017,-0.000216608893536
06:08:27:430,41.30179978,2.09223713,-0.0004463993018865
06:08:31:344,41.30094616,2.0896281,-0.0007209714165702
06:08:35:289,41.30016033,2.08748159,-0.0009898297081887
