Time,lat,lon,Hft
06:52:16:266,41.30302767,2.09617389,-0.000142442247942
06:52:20:156,41.30254048,2.0945922,-0.0002485421367734
06:52:24:070,41.30189732,2.09287054,-0.0003895055128633
06:52:27:992,41.30123293,2.09068254,-0.0006033002721518
06:52:31:930,41.30044046,2.08833225,-0.0008786637666076
06:52:35:883,41.29961667,2.08597151,24.9987989083792
06:52:39:852,41.29884019,2.08347815,124.998408720767
06:52:43:836,41.2983446,2.08095729,199.997953704358
06:52:47:828,41.2980593,2.0783123,274.997409616476
06:52:51:836,41.29810196,2.07569576,349.996801029615
06:52:55:852,41.29856568,2.0731133,424.996130308747
06:52:59:875,41.29930135,2.07053012,474.995394966859
06:53:03:898,41.30030653,2.0680665,524.994638523547
06:53:07:922,41.30158449,2.06584591,599.993918016031
06:53:15:977,41.30505129,2.06219493,699.992699262963
06:53:20:008,41.30699366,2.06080798,749.992257504637
06:53:24:039,41.3089548,2.05946816,824.991847712986
06:53:28:063,41.31090094,2.05796492,899.991382839469
06:53:32:078,41.31282152,2.05653834,949.990955515421
06:53:36:109,41.31477305,2.05512435,1024.99054743181
06:53:40:125,41.31673637,2.05378746,1074.99018548673
06:53:44:141,41.31868845,2.052426,1149.98982458035
06:53:48:148,41.32064464,2.05103233,1224.98946119594
06:53:52:164,41.32250697,2.04963284,1324.98909140087
06:53:56:164,41.32413799,2.04789097,1399.98851526363
06:54:00:164,41.32543717,2.04592559,1524.98775269957
06:54:04:164,41.32647421,2.04385225,1624.98685557364
06:54:08:156,41.32736804,2.0416591,1699.98582914131
06:54:12:148,41.32810421,2.0394538,1799.98472439582
06:54:16:141,41.32874064,2.03725567,1849.98355967388
06:54:20:133,41.32936622,2.03496074,1924.98229118017
06:54:24:125,41.32998157,2.03265167,1974.98096447593
06:54:28:117,41.33056861,2.03032433,2024.97957240189
06:54:32:109,41.33101722,2.0280076,2099.97810822349
06:54:36:094,41.33125711,2.02564649,2174.97651468659
06:54:40:078,41.3313466,2.02327978,2224.97482913898
06:54:44:070,41.33137003,2.02078428,2274.97297857799
06:54:48:055,41.33141056,2.01821791,2324.97101889827
06:54:52:047,41.33148373,2.01558095,2349.968948175
06:54:56:031,41.33155247,2.01296248,2399.96682787879
06:55:00:023,41.33160276,2.01034449,2449.96463984169
06:55:04:016,41.33162248,2.00771992,2499.96237497659
06:55:08:000,41.33162344,2.00500174,2549.95995709103
06:55:11:984,41.33162875,2.00229742,2599.9574843711
06:55:15:977,41.33160475,1.99958802,2649.95493176153
06:55:19:969,41.33158318,1.99679728,2699.95223183922
06:55:23:953,41.33154811,1.99401001,2749.94945972719
06:55:27:945,41.33153984,1.99115324,2799.94655008312
06:55:31:930,41.33149918,1.98838218,2849.94364745759
06:55:35:922,41.33150252,1.9854564,2899.94051618747
06:55:39:914,41.33151961,1.98245319,2949.93722245533
06:55:43:906,41.33149783,1.97962314,2999.93403289811
06:55:47:891,41.33149768,1.97661917,3024.93057040671
06:55:51:883,41.33147282,1.97371056,3074.92713276567
06:55:55:875,41.33146686,1.97072546,3124.92352751407
06:55:59:867,41.33147121,1.9677506,3174.91985462546
06:56:03:859,41.33145862,1.96477458,3224.91609390593
06:56:07:844,41.33150666,1.96164684,3274.91206719723
06:56:11:836,41.33149032,1.95858967,3324.90802832146
06:56:15:836,41.33145167,1.95561939,3374.90401557955
06:56:19:828,41.33143955,1.9525663,3399.89981117114
06:56:23:820,41.3314021,1.94951624,3449.89551911189
06:56:27:805,41.33142995,1.94631422,3499.89093604794
06:56:31:797,41.33145987,1.9432957,3549.8865292814
06:56:35:789,41.33145854,1.94026997,3599.88201943077
06:56:39:781,41.33142526,1.93723722,3649.87740601023
06:56:43:773,41.33142449,1.93412214,3674.87258543475
06:56:47:773,41.33144251,1.93093438,3724.86756420918
06:56:51:758,41.33141152,1.92791244,3774.86270547007
06:56:55:750,41.33134937,1.9248841,3824.85774382409
06:56:59:742,41.33094042,1.92193407,3874.85274593047
06:57:03:734,41.33014628,1.91897111,3924.84755729294
06:57:07:719,41.32923439,1.91607975,3974.8423893474
06:57:11:711,41.32833735,1.91312065,4024.83703408012
06:57:15:695,41.32747222,1.91017827,4049.83163910348
06:57:19:688,41.32664029,1.90726503,4099.82622956711
06:57:23:672,41.32575994,1.90435412,4149.82074105775
06:57:27:664,41.32492784,1.90137919,4199.81506919273
06:57:31:656,41.3240623,1.89840973,4249.80932441689
06:57:35:648,41.32319323,1.89545192,4299.80352499612
06:57:39:641,41.32236737,1.89251376,4349.79769552736
06:57:43:633,41.32153547,1.88949096,4374.79162169659
06:57:47:617,41.32069528,1.88657131,4424.78567439475
06:57:51:609,41.31984925,1.88357355,4474.77949341893
06:57:55:602,41.31898971,1.88058365,4524.77324846357
06:57:59:594,41.31814014,1.87751768,4574.76676835536
06:58:03:578,41.31725534,1.87454349,4624.76039587174
06:58:07:570,41.31635903,1.87157728,4674.75396261994
06:58:11:563,41.31548603,1.8686161,4699.74746640626
06:58:15:555,41.31458615,1.86566735,4749.74091946466
06:58:19:547,41.31372909,1.86273118,4799.73433016743
06:58:23:539,41.31282982,1.85979896,4849.72767094767
06:58:27:531,41.31194865,1.85670262,4899.72056485501
06:58:31:523,41.31106717,1.85387397,4949.71399384507
06:58:35:516,41.31016644,1.85095787,4974.70714763376
06:58:39:500,41.30927882,1.84805631,5024.70026448409
06:58:43:500,41.3083873,1.84516132,5074.69332432757
06:58:47:492,41.30747374,1.84227195,5124.68632446007
06:58:51:484,41.30665395,1.83930613,5174.67907099966
06:58:55:469,41.30571648,1.83642852,5224.6719535649
06:58:59:461,41.30483641,1.83346576,5249.66455417302
06:59:03:453,41.30395443,1.83060175,5299.65732913201
06:59:07:445,41.30305235,1.82782954,5349.650267433
06:59:11:438,41.30215215,1.82488973,5399.64270815472
06:59:15:438,41.30125268,1.82186223,5424.63484506013
06:59:19:422,41.30035437,1.81901955,5474.62739054342
06:59:23:414,41.29941671,1.81608927,5499.61963308428
06:59:27:406,41.29854274,1.81308319,5549.61159853509
06:59:31:398,41.29763178,1.81025548,5599.60397081315
06:59:35:391,41.29672218,1.80725289,5624.59579435661
06:59:39:383,41.29581629,1.80426115,5674.58757092738
06:59:43:375,41.29495984,1.80135224,5699.57949946463
06:59:47:367,41.293998,1.7983712,5749.57115639649
06:59:51:359,41.293107,1.7953916,5799.562737912
06:59:55:359,41.29224697,1.79249459,5824.55447811003
06:59:59:352,41.2913443,1.78943651,5874.54568070435
07:00:03:344,41.29047389,1.7864606,5899.53704061232
07:00:07:336,41.28956272,1.78341032,5949.52810719015
07:00:11:320,41.28866228,1.78044333,5974.51934096012
