Time,lat,lon,Hft
06:48:34:398,41.25121053,2.3684023,5999.67933052046
06:48:38:383,41.25454179,2.37221872,5974.66857586509
06:48:42:367,41.25786478,2.37593499,5949.65803109036
06:48:46:352,41.26117911,2.37981276,5949.64703038292
06:48:50:336,41.26450349,2.38360186,5949.63620582318
06:48:54:320,41.26778263,2.38738146,5949.62537099994
06:48:58:305,41.27111555,2.39100065,5949.61490733382
06:49:02:281,41.27465461,2.39413511,5949.6056876953
06:49:06:266,41.27846202,2.39661059,5949.59823896306
06:49:10:250,41.28250522,2.39858386,5949.59220194844
06:49:14:234,41.28654388,2.40019461,5949.58726323756
06:49:18:219,41.29055277,2.40179092,5949.58246974333
06:49:22:203,41.29453673,2.40320979,5924.57827526267
06:49:26:188,41.29848817,2.40471392,5874.57394477486
06:49:30:172,41.30245481,2.40603999,5824.5702186812
06:49:34:156,41.30639385,2.40754848,5724.56607689657
06:49:38:141,41.31043863,2.40896267,5624.56231228233
06:49:42:125,41.31446256,2.41045964,5524.55841604543
06:49:46:102,41.3185325,2.41194912,5424.55465267478
06:49:50:086,41.32260587,2.41344047,5299.55099132508
06:49:54:078,41.32658587,2.41485031,5199.54765641783
06:49:58:063,41.33054599,2.41626687,5099.54440118022
06:50:02:047,41.33454256,2.41777527,4974.5409878471
06:50:06:031,41.33846733,2.41921185,4874.53786800265
06:50:10:016,41.34228311,2.4206839,4774.53470709812
06:50:14:000,41.34625444,2.42187007,4674.5325447743
06:50:17:984,41.35020523,2.42227761,4574.53280448508
06:50:21:969,41.35412976,2.4217309,4449.5360117007
06:50:25:953,41.35803264,2.4203002,4349.54194470613
06:50:29:938,41.36168503,2.41796959,4249.55050244632
06:50:33:922,41.3649157,2.41489479,4149.56106623951
06:50:37:906,41.36783014,2.41123115,4049.57314946964
06:50:41:898,41.37011132,2.40693413,3949.58662520428
06:50:45:883,41.37179203,2.40219091,3874.60088129114
06:50:49:875,41.37327851,2.39712511,3799.61572474068
