id,callsign,Time_despegue,lat_turn,lon_turn,time_turn,roll_turn_deg,track_turn_deg,alt_ft_turn,SID,TipoAeronave,Estela,Atraviesa_radial_234,turn_found,turn_compliant,radial_from_bcn_deg
571,VLG3YR,05:00:11:922,41.27504495,2.06196303,05:00:52:148,-24.258,,974.995093511738,-,A320,Media,True,False,False,72.26381234162159
572,VLG1265,05:06:03:477,41.27788536,2.06298161,05:06:39:719,-16.172,,799.994930366542,OLOXO1C,A320,Media,True,False,False,66.42578175786366
573,VLG73QE,05:08:59:203,41.27374862,2.06143716,05:09:43:438,-20.566,,1124.99516474095,GRAUS1C,A321,Media,True,False,False,75.18801882702633
575,VLG4SW,05:13:34:867,41.27786724,2.06346506,05:14:11:125,-31.113,,899.995111561236,DIPES1C,A321,Media,True,False,False,66.80207823723009
576,VLG4VF,05:15:06:719,41.27019763,2.05862067,05:15:54:938,-27.07,,1249.99485660305,-,A321,Media,True,False,False,83.89237417474016
577,DLH03K,05:16:42:570,41.27791919,2.06959111,05:17:18:828,-21.621,,1024.99713277483,-,A20N,Media,True,False,False,70.2965046614139
578,VLG593U,05:18:10:500,41.27800571,2.064202,05:18:46:766,-29.531,,899.995349412107,-,A321,Media,True,False,False,67.0082585059447
579,VLG38HJ,05:19:26:367,41.28189397,2.07334267,05:19:54:641,-9.492,,649.997549351894,-,A321,Media,True,False,False,65.4488985136386
580,IBE04RC,05:20:34:273,41.27514548,2.06092814,05:21:18:555,-23.027,,1249.99469107329,-,A320,Media,True,False,False,71.39329722285459
581,EJU14CG,05:21:46:219,41.2742096,2.0600011,05:22:30:445,-20.742,,1124.99451664675,-,A319,Media,True,False,False,73.21353160968897
582,VLG23TK,05:23:14:055,41.27677214,2.06404436,05:23:54:344,-29.18,,1124.99552356293,LARPA1C,A321,Media,True,False,False,69.54317990393179
583,VLG7830,05:24:46:016,41.27714465,2.063128,05:25:22:242,-29.18,,924.995120474009,-,A321,Media,True,False,False,68.1429776356764
584,VLG6UW,05:25:53:898,41.27834742,2.06439515,05:26:30:156,-28.477,,899.995357735344,SENIA1C,A321,Media,True,False,False,66.42791749659136
585,VLG3BV,05:27:29:758,41.27878828,2.0654561,05:28:06:031,-29.355,,824.995646565056,-,A320,Media,True,False,False,66.24206651950857
586,VLG2472,05:28:45:633,41.27249556,2.05742136,05:29:33:898,-23.203,,1224.99384167242,-,A321,Media,True,False,False,76.5449122320718
587,VLG3LK,05:30:25:555,41.28094569,2.07109537,05:30:53:797,-3.867,,549.99706340571,DUNES1C,A320,Media,True,False,False,65.74657979753891
588,VLG55PB,05:32:05:398,41.28016123,2.06941876,05:32:37:664,-21.973,,749.996695782397,-,A21N,Media,True,False,False,66.1297055817314
589,VLG56ND,05:33:21:320,41.27070734,2.05761851,05:34:09:523,-25.84,-3.0,1149.99432399907,-,A319,Media,True,False,False,82.06784062741167
590,VLG1PT,05:34:33:203,41.27585691,2.06416815,05:35:13:445,-23.73,,1124.99574010154,LARPA1C,A321,Media,True,False,False,71.6322751989016
591,VLG11TT,05:35:49:117,41.27431227,2.05914591,05:36:33:359,-21.094,,1249.99416135606,-,A320,Media,True,False,False,72.4146557936034
592,VLG15SY,05:37:24:953,41.27534412,2.05933039,05:38:09:250,-18.809,,1099.99402341567,SENIA1C,A320,Media,True,False,False,69.821236987747
593,VLG7EY,05:39:00:852,41.27858649,2.06509745,05:39:37:133,-26.367,,749.995555740252,LOTOS1C,A321,Media,True,False,False,66.40973168228754
594,VLG76GZ,05:40:24:750,41.27793314,2.0676602,05:40:57:000,-25.84,,1199.99653491213,-,A321,Media,True,False,False,69.25415518069826
595,VLG68LT,05:41:52:602,41.28116871,2.07097038,05:42:24:906,-16.348,,599.996994998361,OLOXO1C,A321,Media,True,False,False,65.30133273406847
596,VLG5YL,05:43:08:563,41.27720361,2.06417921,05:43:44:805,-32.168,,924.995485590359,-,A320,Media,True,False,False,68.69362653478026
597,RYR2SY,05:44:16:469,41.27544886,2.06481891,05:44:56:688,-20.566,,949.9960412335,-,B738,Media,True,False,False,72.88489863641098
598,VLG2QW,05:45:28:328,41.27947773,2.06636176,05:46:04:633,-11.426,,724.99583305946,-,A320,Media,True,False,False,65.49186467335772
599,VLG3TC,05:46:44:266,41.27605221,2.06410735,05:47:24:508,-28.828,,924.995674812623,-,A321,Media,True,False,False,71.16390898071103
600,VLG84ZE,05:48:20:188,41.27310736,2.05673766,05:49:04:398,-23.379,,1174.99342158151,NATPI1C,A320,Media,True,False,False,74.30387996236584
601,VLG1YW,05:49:32:039,41.27635465,2.06344932,05:50:12:297,-18.984,,999.995385338197,-,A320,Media,True,False,False,70.10272892101358
602,VLG6FZ,05:51:15:914,41.27847403,2.06479973,05:51:52:188,-15.996,,849.995475388515,-,A320,Media,True,False,False,66.43996674940263
603,VLG9VG,05:52:15:820,41.27075338,2.06028676,05:53:04:039,-21.27,,1199.99538581648,-,A321,Media,True,False,False,82.71469703233987
604,VLG94PH,05:53:43:719,41.27161677,2.06267082,05:54:27:914,-13.711,,1199.99608920643,-,A320,Media,True,False,False,81.0976619681154
605,VLG44WK,05:54:59:609,41.27422367,2.06158518,05:55:43:859,-25.137,,1149.99512315208,OLOXO1C,A321,Media,True,False,False,74.0698506093695
606,VLG2GP,05:56:11:547,41.28116242,2.07142889,05:56:39:797,-5.273,,599.997127672111,LARPA1C,A320,Media,True,False,False,65.57385646704506
