tick_time_s,callsign_preceding,callsign_following,X_pre,Y_pre,X_fol,Y_fol,distance_nm,ATCZone_pre,thr_distance_nm_pre,ATCZone_fol,thr_distance_nm_fol,ATCZone,thr_distance_nm,min_required_nm,is_below_minima,margin_nm,Aircraft_Type_Preceding,Aircraft_Type_Following,Wake_Pre,Wake_Fol,wake_required_nm,wake_is_below,wake_margin_nm
15044.0,RYR91MD,RYR699N,22.634971731876966,10.409353711739715,17.81862527284371,10.316173487604754,4.817247737828315,TMA,4.11643658697969,TWR,0.5076941433899336,TWR,0.5076941433899336,3.0,False,1.817247737828315,B738,B738,,,,False,
15112.0,RYR91MD,VLG53PC,25.9782745020916,8.18021865676791,17.51793342506947,10.175903256809477,8.69253289682536,TMA,7.848153612669832,TWR,0.3260346186101427,TWR,0.3260346186101427,3.0,False,5.692532896825361,B738,A320,,,,False,
15116.0,RYR91MD,VLG53PC,25.94589843457922,7.903229869353744,17.62387058361651,10.225862428750409,8.64006768249928,TMA,7.90886868572745,TWR,0.4431609322784433,TWR,0.4431609322784433,3.0,False,5.64006768249928,B738,A320,,,,False,
15120.0,RYR91MD,VLG53PC,25.899764839808764,7.627796514705133,17.751246822023916,10.285337719647885,8.570931754607132,TMA,7.965548228479622,TWR,0.5837380050732638,TWR,0.5837380050732638,3.0,False,5.570931754607132,B738,A320,,,,False,
15212.0,VLG53PC,SWR7YT,22.261666748099948,10.398334084027246,17.53257556925604,10.177954799484343,4.734223316117958,TMA,3.7444542640724494,TWR,0.3401882403532645,TWR,0.3401882403532645,3.0,False,1.7342233161179577,A320,A320,,,,False,
15216.0,VLG53PC,SWR7YT,22.51755081749065,10.359182502637566,17.654530367517143,10.23489737502808,4.864608379901248,TMA,4.002383751086397,TWR,0.4747763525201747,TWR,0.4747763525201747,3.0,False,1.8646083799012478,A320,A320,,,,False,
15220.0,VLG53PC,SWR7YT,22.769944677770745,10.320831009770002,17.794509294301974,10.295427181577946,4.975500237117856,TMA,4.256886195534403,TWR,0.6272563354714643,TWR,0.6272563354714643,3.0,False,1.9755002371178563,A320,A320,,,,False,
15312.0,SWR7YT,RYR32FE,22.268066875961463,10.279346393852196,17.511570209888358,10.17126874578654,4.7577243838179575,TMA,3.760318668019423,TWR,0.318308403181908,TWR,0.318308403181908,3.0,False,1.7577243838179575,A320,B738,,,,False,
15316.0,SWR7YT,RYR32FE,22.523144533518074,10.249405834438312,17.616768691556718,10.221852859602633,4.906453206645744,TMA,4.017092825697659,TWR,0.4350284003398354,TWR,0.4350284003398354,3.0,False,1.906453206645744,A320,B738,,,,False,
15320.0,SWR7YT,RYR32FE,22.77391937777136,10.221256327653917,17.73947500550386,10.279998313836249,5.034787061872285,TMA,4.269416252503499,TWR,0.5708129898466883,TWR,0.5708129898466883,3.0,False,2.0347870618722848,A320,B738,,,,False,
