Callsign_Preceding;Callsign_Following;ATOT_Preceding;ATOT_Following;Time_Overlap_Seconds;ToD_TWR;Distance_TWR_NM;ToD_Min_TMA;Min_Distance_TMA_NM;Inc_Radar_TWR;Inc_Radar_TMA;Inc_Wake_TWR;Inc_Wake_TMA;Wake_Separation_Required_NM;Wake_Preceding;Wake_Following;SID_Preceding;SID_Following;Runway;Aircraft_Type_Preceding;Aircraft_Type_Following
DLH03K;VLG593U;05:17:00;05:18:00;67.81999999999971;19094.563;3.25;19130.742;2.56;False;True;NA;NA;NA;MEDIUM;MEDIUM;-;-;24L;A20N;A321
VLG593U;VLG38HJ;05:18:00;05:19:00;135.81300000000192;19174.492;3.29;19210.602;2.5;False;True;NA;NA;NA;MEDIUM;MEDIUM;-;-;24L;A321;A321
VLG38HJ;IBE04RC;05:19:00;05:20:00;103.76599999999962;19242.406;2.84;19278.555;2.18;True;True;NA;NA;NA;MEDIUM;MEDIUM;-;-;24L;A321;A320
IBE04RC;EJU14CG;05:20:00;05:22:00;119.79699999999866;19310.273;2.91;19346.453;2.03;True;True;NA;NA;NA;MEDIUM;MEDIUM;-;-;24L;A320;A319
VLG7830;VLG6UW;05:25:00;05:26:00;119.96099999999933;19557.961;2.98;19594.148;2.14;True;True;NA;NA;NA;MEDIUM;MEDIUM;-;SENIA1C;24L;A321;A321
VLG3BV;VLG2472;05:27:00;05:29:00;96.00799999999799;19733.758;3.48;19769.922;2.72;False;True;NA;NA;NA;MEDIUM;MEDIUM;-;-;24L;A320;A321
VLG55PB;VLG56ND;05:32:00;05:33:00;115.80500000000029;20005.383;3.13;20041.555;2.47;False;True;NA;NA;NA;MEDIUM;MEDIUM;-;-;24L;A21N;A319
VLG56ND;VLG1PT;05:33:00;05:34:00;91.96899999999732;20081.328;3.22;20117.422;2.37;False;True;NA;NA;NA;MEDIUM;MEDIUM;-;LARPA1C;24L;A319;A321
VLG1PT;VLG11TT;05:34:00;05:36:00;107.80500000000029;20153.18;3.02;20189.375;2.31;False;True;NA;NA;NA;MEDIUM;MEDIUM;LARPA1C;-;24L;A321;A320
VLG7EY;VLG76GZ;05:39:00;05:40:00;127.89800000000105;20432.883;3.67;20552.617;2.76;False;True;NA;NA;NA;MEDIUM;MEDIUM;LOTOS1C;-;24L;A321;A321
