Callsign_Preceding;Callsign_Following;ATOT_Preceding;ATOT_Following;Time_Overlap_Seconds;ToD_TWR;Distance_TWR_NM;ToD_Min_TMA;Min_Distance_TMA_NM;Inc_Radar_TWR;Inc_Radar_TMA;Inc_Wake_TWR;Inc_Wake_TMA;Wake_Separation_Required_NM;Wake_Preceding;Wake_Following;SID_Preceding;SID_Following;Runway;Aircraft_Type_Preceding;Aircraft_Type_Following
VLG73QE;VLG6001;05:09:00;05:11:00;8.007000000001426;18723.063;6.01;18754.906;4.63;False;True;NA;NA;NA;MEDIUM;MEDIUM;GRAUS1C;-;24L;A321;A319
VLG4SW;VLG4VF;05:13:00;05:15:00;111.55400000000009;18914.852;4.29;18950.961;3.64;False;True;NA;NA;NA;MEDIUM;MEDIUM;DIPES1C;-;24L;A321;A321
VLG4VF;DLH03K;05:15:00;05:17:00;99.75;19010.703;4.44;19046.773;3.83;False;True;NA;NA;NA;MEDIUM;MEDIUM;-;-;24L;A321;A20N
DLH03K;VLG593U;05:17:00;05:18:00;67.81999999999971;19094.563;3.25;19130.742;2.56;False;True;NA;NA;NA;MEDIUM;MEDIUM;-;-;24L;A20N;A321
VLG593U;VLG38HJ;05:18:00;05:19:00;135.81300000000192;19174.492;3.29;19210.602;2.5;False;True;NA;NA;NA;MEDIUM;MEDIUM;-;-;24L;A321;A321
VLG38HJ;IBE04RC;05:19:00;05:20:00;107.75;19242.406;2.84;19278.555;2.18;True;True;NA;NA;NA;MEDIUM;MEDIUM;-;-;24L;A321;A320
IBE04RC;EJU14CG;05:20:00;05:22:00;119.79699999999866;19310.273;2.91;19346.453;2.03;True;True;NA;NA;NA;MEDIUM;MEDIUM;-;-;24L;A320;A319
EJU14CG;VLG23TK;05:22:00;05:23:00;71.84300000000076;19402.188;3.92;19438.32;3.19;False;True;NA;NA;NA;MEDIUM;MEDIUM;-;LARPA1C;24L;A319;A321
VLG23TK;VLG7830;05:23:00;05:25:00;91.78900000000067;19490.07;3.86;19526.227;3.24;False;True;NA;NA;NA;MEDIUM;MEDIUM;LARPA1C;-;24L;A321;A321
VLG7830;VLG6UW;05:25:00;05:26:00;119.96099999999933;19557.961;2.98;19594.148;2.14;True;True;NA;NA;NA;MEDIUM;MEDIUM;-;SENIA1C;24L;A321;A321
VLG6UW;VLG3BV;05:26:00;05:27:00;87.84399999999732;19657.883;4.36;19694.0;3.79;False;True;NA;NA;NA;MEDIUM;MEDIUM;SENIA1C;-;24L;A321;A320
VLG3BV;VLG2472;05:27:00;05:29:00;96.00799999999799;19733.758;3.48;19769.922;2.72;False;True;NA;NA;NA;MEDIUM;MEDIUM;-;-;24L;A320;A321
VLG2472;VLG3LK;05:29:00;05:30:00;83.81999999999971;19829.617;4.38;19865.789;3.85;False;True;NA;NA;NA;MEDIUM;MEDIUM;-;DUNES1C;24L;A321;A320
VLG3LK;VLG55PB;05:30:00;05:32:00;67.85199999999895;19933.523;4.81;19969.609;4.17;False;True;NA;NA;NA;MEDIUM;MEDIUM;DUNES1C;-;24L;A320;A21N
VLG55PB;VLG56ND;05:32:00;05:33:00;115.80500000000029;20005.383;3.13;20041.555;2.47;False;True;NA;NA;NA;MEDIUM;MEDIUM;-;-;24L;A21N;A319
VLG56ND;VLG1PT;05:33:00;05:34:00;91.96899999999732;20081.328;3.22;20117.422;2.37;False;True;NA;NA;NA;MEDIUM;MEDIUM;-;LARPA1C;24L;A319;A321
VLG1PT;VLG11TT;05:34:00;05:36:00;107.80500000000029;20153.18;3.02;20189.375;2.31;False;True;NA;NA;NA;MEDIUM;MEDIUM;LARPA1C;-;24L;A321;A320
VLG11TT;VLG15SY;05:36:00;05:37:00;64.02399999999761;20253.086;4.65;20289.25;3.99;False;True;NA;NA;NA;MEDIUM;MEDIUM;-;SENIA1C;24L;A320;A320
VLG15SY;VLG7EY;05:37:00;05:39:00;87.84300000000076;20348.977;4.37;20385.109;3.75;False;True;NA;NA;NA;MEDIUM;MEDIUM;SENIA1C;LOTOS1C;24L;A320;A321
VLG7EY;VLG76GZ;05:39:00;05:40:00;127.89800000000105;20432.883;3.67;20552.617;2.76;False;True;NA;NA;NA;MEDIUM;MEDIUM;LOTOS1C;-;24L;A321;A321
VLG76GZ;VLG68LT;05:40:00;05:42:00;64.03900000000067;20520.727;4.72;20556.859;4.07;False;True;NA;NA;NA;MEDIUM;MEDIUM;-;OLOXO1C;24L;A321;A321
VLG68LT;VLG5YL;05:42:00;05:43:00;115.93700000000172;20592.625;2.97;20628.781;2.06;True;True;NA;NA;NA;MEDIUM;MEDIUM;OLOXO1C;-;24L;A321;A320
VLG5YL;RYR2SY;05:43:00;05:44:00;111.80400000000009;20660.531;2.96;20696.688;2.2;True;True;NA;NA;NA;MEDIUM;MEDIUM;-;-;24L;A320;B738
RYR2SY;VLG2QW;05:44:00;05:45:00;91.98499999999694;20736.453;3.16;20772.633;2.41;False;True;NA;NA;NA;MEDIUM;MEDIUM;-;-;24L;B738;A320
VLG2QW;VLG3TC;05:45:00;05:46:00;107.81200000000172;20808.336;3.12;20844.508;2.27;False;True;NA;NA;NA;MEDIUM;MEDIUM;-;-;24L;A320;A321
VLG3TC;VLG84ZE;05:46:00;05:48:00;92.03100000000268;20904.242;4.43;20940.414;3.8;False;True;NA;NA;NA;MEDIUM;MEDIUM;-;NATPI1C;24L;A321;A320
VLG84ZE;VLG1YW;05:48:00;05:49:00;99.96900000000096;20980.156;3.37;21016.281;2.46;False;True;NA;NA;NA;MEDIUM;MEDIUM;NATPI1C;-;24L;A320;A320
VLG1YW;VLG6FZ;05:49:00;05:51:00;71.78099999999904;21079.977;4.88;21116.18;4.4;False;True;NA;NA;NA;MEDIUM;MEDIUM;-;-;24L;A320;A320
VLG6FZ;VLG9VG;05:51:00;05:52:00;107.99299999999857;21143.938;2.63;21180.063;1.57;True;True;NA;NA;NA;MEDIUM;MEDIUM;-;-;24L;A320;A321
VLG9VG;VLG94PH;05:52:00;05:54:00;95.75799999999799;21231.844;3.87;21267.914;3.12;False;True;NA;NA;NA;MEDIUM;MEDIUM;-;-;24L;A321;A320
VLG94PH;VLG44WK;05:54:00;05:55:00;91.76599999999962;21307.727;3.42;21343.859;2.76;False;True;NA;NA;NA;MEDIUM;MEDIUM;-;OLOXO1C;24L;A320;A321
VLG44WK;VLG2GP;05:55:00;05:56:00;111.94499999999971;21375.609;2.96;21411.781;2.11;True;True;NA;NA;NA;MEDIUM;MEDIUM;OLOXO1C;LARPA1C;24L;A321;A320
VLG2GP;VLG73LA;05:56:00;05:57:00;75.89100000000326;21467.508;4.15;21503.594;3.42;False;True;NA;NA;NA;MEDIUM;MEDIUM;LARPA1C;-;24L;A320;A20N
VLG73LA;EJU86XG;05:57:00;05:59:00;87.7960000000021;21543.414;3.34;21579.563;2.79;False;True;NA;NA;NA;MEDIUM;MEDIUM;-;-;24L;A20N;A319
EJU86XG;BAW47C;05:59:00;06:00:00;95.74200000000201;21607.32;2.6;21643.477;1.76;True;True;NA;NA;NA;MEDIUM;MEDIUM;-;-;24L;A319;A319
BAW47C;VLG5RP;06:00:00;06:02:00;104.00800000000163;21707.188;3.89;21822.961;2.14;False;True;NA;NA;NA;MEDIUM;MEDIUM;-;OLOXO1C;24L;A319;A21N
VLG5RP;VLG6LC;06:02:00;06:03:00;95.96800000000076;21783.078;3.43;21819.258;2.67;False;True;NA;NA;NA;MEDIUM;MEDIUM;OLOXO1C;DALIN1C;24L;A21N;A321
VLG6LC;VLG91MM;06:03:00;06:04:00;99.53199999999924;21859.0;3.21;21895.148;2.47;False;True;NA;NA;NA;MEDIUM;MEDIUM;DALIN1C;-;24L;A321;A320
VLG91MM;DLH98Y;06:04:00;06:05:00;91.98400000000038;21926.93;3.03;21963.063;2.13;False;True;NA;NA;NA;MEDIUM;MEDIUM;-;AGENA1C;24L;A320;A320
DLH98Y;DLH97F;06:05:00;06:07:00;95.73500000000058;22010.797;3.75;22046.93;3.06;False;True;NA;NA;NA;MEDIUM;MEDIUM;AGENA1C;-;24L;A320;A321
DLH97F;THY1852;06:07:00;06:08:00;87.78900000000067;22098.719;3.85;22134.867;3.24;False;True;NA;NA;NA;MEDIUM;MEDIUM;-;DIPES1C;24L;A321;B738
THY1852;VLG700D;06:08:00;06:10:00;59.82800000000134;22214.57;5.17;22250.648;4.48;False;True;NA;NA;NA;MEDIUM;MEDIUM;DIPES1C;-;24L;B738;A320
VLG700D;VLG6ZP;06:10:00;06:12:00;47.875;22314.43;4.94;22350.531;4.36;False;True;NA;NA;NA;MEDIUM;MEDIUM;-;OLOXO1C;24L;A320;A20N
NSZ3DA;VLG8VX;06:13:00;06:14:00;111.56299999999828;22466.211;3.74;22502.375;3.01;False;True;NA;NA;NA;MEDIUM;MEDIUM;-;-;24L;B738;A320
VLG8VX;IBE04GZ;06:14:00;06:15:00;135.46900000000096;22534.156;2.8;22570.281;1.98;True;True;NA;NA;NA;MEDIUM;MEDIUM;-;-;24L;A320;A320
IBE04GZ;NSZ5528;06:15:00;06:17:00;111.91400000000067;22614.055;3.45;22650.188;2.71;False;True;NA;NA;NA;MEDIUM;MEDIUM;-;-;24L;A320;B738
VLG5WG;VLG45PN;06:20:00;06:21:00;63.99200000000201;22889.688;4.17;22925.852;3.48;False;True;NA;NA;NA;MEDIUM;MEDIUM;-;-;24L;A20N;A320
VLG45PN;VLG65MT;06:21:00;06:23:00;95.78900000000067;22973.57;3.73;23009.734;3.06;False;True;NA;NA;NA;MEDIUM;MEDIUM;-;LOBAR1C;24L;A320;A320
VLG65MT;IBE2601;06:23:00;06:25:00;56.0779999999977;23113.398;7.37;23149.555;6.56;False;False;NA;NA;NA;MEDIUM;HEAVY;LOBAR1C;LOTOS1C;24L;A320;A332
IBE2601;VLG93DX;06:25:00;06:27:00;175.875;23253.227;5.85;23356.969;5.14;False;False;False;False;5;HEAVY;MEDIUM;LOTOS1C;LARPA1C;24L;A332;A320
VLG93DX;SWT7TN;06:27:00;06:29:00;95.8279999999977;23337.125;3.55;23373.188;2.94;False;True;NA;NA;NA;MEDIUM;MEDIUM;LARPA1C;LARPA1C;24L;A320;AT72
SWT7TN;EJU37TW;06:29:00;06:31:00;143.53199999999924;23464.961;5.43;23580.719;4.59;False;True;NA;NA;NA;MEDIUM;MEDIUM;LARPA1C;NATPI1C;24L;AT72;A319
EJU37TW;VLG92CD;06:31:00;06:33:00;44.03100000000268;23576.781;5.47;23612.961;4.77;False;True;NA;NA;NA;MEDIUM;MEDIUM;NATPI1C;NATPI1C;24L;A319;A320
VLG92CD;VLG2974;06:33:00;06:34:00;116.06999999999971;23652.719;3.32;23688.813;2.49;False;True;NA;NA;NA;MEDIUM;MEDIUM;NATPI1C;NATPI1C;24L;A320;A20N
TVF32PR;VLG21PG;06:43:00;06:46:00;36.07000000000335;24355.82;6.36;24391.938;5.64;False;False;NA;NA;NA;MEDIUM;MEDIUM;OLOXO1C;LOTOS1C;24L;B738;A20N
VLG21PG;AEA38LZ;06:46:00;06:48:00;23.889999999999418;24503.617;8.08;24539.781;7.66;False;False;NA;NA;NA;MEDIUM;MEDIUM;LOTOS1C;LARPA1C;24L;A20N;B738
AEA38LZ;RYR2889;06:48:00;06:50:00;79.65600000000268;24631.477;5.83;24667.602;5.33;False;False;NA;NA;NA;MEDIUM;MEDIUM;LARPA1C;LARPA1C;24L;B738;B738
RYR2889;VLG200Z;06:50:00;06:52:00;87.88200000000143;24743.313;5.35;24779.484;4.86;False;True;NA;NA;NA;MEDIUM;MEDIUM;LARPA1C;LARPA1C;24L;B738;A320
VLG200Z;VLG57RJ;06:52:00;06:53:00;111.83599999999933;24815.227;3.02;24851.359;2.19;False;True;NA;NA;NA;MEDIUM;MEDIUM;LARPA1C;DIPES1C;24L;A320;A320
VLG57RJ;RYR63PB;06:53:00;06:55:00;91.69599999999991;24903.086;3.99;24939.273;3.39;False;True;NA;NA;NA;MEDIUM;MEDIUM;DIPES1C;LOTOS1C;24L;A320;B738
RYR63PB;EWG81R;06:55:00;06:56:00;95.8289999999979;24998.961;4.31;25035.125;3.69;False;True;NA;NA;NA;MEDIUM;MEDIUM;LOTOS1C;-;24L;B738;A320
RYR4WX;VLG5FN;07:03:00;07:05:00;124.18800000000192;25522.328;4.58;25626.125;3.62;False;True;NA;NA;NA;MEDIUM;MEDIUM;OLOXO1C;NATPI1C;24L;B38M;A320
VLG5FN;VLG6VG;07:05:00;07:07:00;92.07099999999991;25618.172;4.63;25654.352;3.98;False;True;NA;NA;NA;MEDIUM;MEDIUM;NATPI1C;DUNES1C;24L;A320;A320
IBE04YC;VLG8QR;07:11:00;07:13:00;71.89800000000105;25981.719;4.41;26017.891;3.94;False;True;NA;NA;NA;MEDIUM;MEDIUM;-;LOTOS1C;24L;A20N;A320
VLG8QR;VLG9FC;07:13:00;07:14:00;99.80500000000029;26053.609;3.0;26089.805;2.24;False;True;NA;NA;NA;MEDIUM;MEDIUM;LOTOS1C;GRAUS1C;24L;A320;A320
VLG9FC;WMT182;07:14:00;07:16:00;76.06999999999971;26157.508;4.93;26193.672;4.25;False;True;NA;NA;NA;MEDIUM;MEDIUM;GRAUS1C;-;24L;A320;A321
WMT182;NJE838T;07:16:00;07:17:00;123.75;26245.375;3.62;26361.063;1.76;False;True;NA;NA;NA;MEDIUM;MEDIUM;-;-;24L;A321;C56X
TRA3T;QTR138;07:22:00;07:23:00;83.98400000000038;26624.922;4.11;26661.086;3.43;False;True;NA;NA;NA;MEDIUM;HEAVY;OLOXO1C;DIPES1C;24L;B738;B789
QTR138;BTX6F;07:23:00;07:26:00;71.39099999999962;26784.734;6.96;26820.727;6.4;False;False;False;False;5;HEAVY;MEDIUM;DIPES1C;-;24L;B789;FA7X
BTX6F;RYR23VU;07:26:00;07:28:00;27.860000000000582;26888.547;4.94;26924.734;4.54;False;True;NA;NA;NA;MEDIUM;MEDIUM;-;-;24L;FA7X;B738
RYR23VU;RYR98RR;07:28:00;07:29:00;127.78099999999904;26972.453;3.52;27008.594;2.69;False;True;NA;NA;NA;MEDIUM;MEDIUM;-;DIPES1C;24L;B738;B738
RYR98RR;LHX06E;07:29:00;07:31:00;83.67199999999866;27060.313;4.24;27096.461;3.66;False;True;NA;NA;NA;MEDIUM;MEDIUM;DIPES1C;-;24L;B738;A20N
LHX06E;ANE53GX;07:31:00;07:32:00;71.76499999999942;27144.211;3.63;27180.406;3.17;False;True;NA;NA;NA;MEDIUM;MEDIUM;-;-;24L;A20N;CRJX
ANE53GX;VLG7CV;07:32:00;07:34:00;76.07099999999991;27264.047;5.41;27300.227;4.68;False;True;NA;NA;NA;MEDIUM;MEDIUM;-;-;24L;CRJX;A320
RYR26UP;RYR97BB;07:37:00;07:39:00;83.97599999999875;27551.703;4.66;27587.859;3.9;False;True;NA;NA;NA;MEDIUM;MEDIUM;-;-;24L;B738;B738
RYR97BB;KLM1498;07:39:00;07:40:00;103.86000000000058;27643.609;4.39;27679.766;3.89;False;True;NA;NA;NA;MEDIUM;MEDIUM;-;-;24L;B738;E190
KLM1498;WMT95Z;07:40:00;07:42:00;156.01599999999962;27735.469;3.72;27831.258;2.75;False;True;NA;NA;NA;MEDIUM;MEDIUM;-;-;24L;E190;A21N
WMT95Z;IBE04LK;07:42:00;07:44:00;55.703999999997905;27855.297;6.11;27891.414;5.65;False;False;NA;NA;NA;MEDIUM;MEDIUM;-;-;24L;A21N;A20N
IBE04LK;DAL251;07:44:00;07:46:00;55.85900000000038;27959.148;4.76;27995.352;4.35;False;True;NA;NA;NA;MEDIUM;HEAVY;-;-;24L;A20N;A339
WZZ17JZ;WZZ521;07:50:00;07:52:00;119.60199999999895;28318.711;3.53;28354.875;2.67;False;True;NA;NA;NA;MEDIUM;MEDIUM;-;-;24L;A21N;A21N
WZZ521;AEA68NT;07:52:00;07:53:00;71.63999999999942;28418.563;4.84;28454.742;4.36;False;True;NA;NA;NA;MEDIUM;MEDIUM;-;LARPA1C;24L;A21N;B738
AEA68NT;RYR2VW;07:53:00;07:55:00;111.58599999999933;28506.492;3.48;28542.664;2.84;False;True;NA;NA;NA;MEDIUM;MEDIUM;LARPA1C;-;24L;B738;B738
